BatchNumber,TrayNumber,FlyID,LineNumber,Sex,n_Week1Day1,rBias_Week1Day1,n_Week1Day2,rBias_Week1Day2,n_Week1Day3,rBias_Week1Day3,n_Week2Day1,rBias_Week2Day1,n_Week2Day2,rBias_Week2Day2,n_Week2Day3,rBias_Week2Day3,n_Week3Day1,rBias_Week3Day1,n_Week3Day2,rBias_Week3Day2,n_Week3Day3,rBias_Week3Day3
1,2,50,105,0,221,0.509090909090909,68,0.477611940298507,30,0.413793103448276,18,0.470588235294118,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
1,2,51,105,0,2,0,10,0.888888888888889,13,0.583333333333333,312,0.514469453376206,445,0.493243243243243,411,0.558536585365854,562,0.6524064171123,-1,NaN,-1,NaN
1,2,52,105,0,-1,NaN,-1,NaN,1,NaN,17,0.625,1,NaN,0,NaN,-1,NaN,-1,NaN,0,NaN
1,2,53,105,0,34,0.484848484848485,-1,NaN,1,NaN,6,0.4,-1,NaN,3,0.5,-1,NaN,-1,NaN,-1,NaN
1,2,54,105,0,64,0.46031746031746,121,0.466666666666667,32,0.387096774193548,38,0.513513513513513,-1,NaN,0,NaN,-1,NaN,-1,NaN,0,NaN
1,2,55,105,0,16,0.466666666666667,13,0.583333333333333,29,0.392857142857143,5,0.5,-1,NaN,0,NaN,-1,NaN,-1,NaN,0,NaN
1,2,56,105,1,311,0.358064516129032,43,0.523809523809524,45,0.590909090909091,380,0.408970976253298,402,0.463840399002494,0,NaN,-1,NaN,-1,NaN,-1,NaN
1,2,57,105,1,240,0.548117154811716,223,0.391891891891892,16,0.4,576,0.554782608695652,248,0.502024291497976,390,0.408740359897172,362,0.448753462603878,-1,NaN,-1,NaN
1,2,58,105,1,156,0.387096774193548,6,0.4,33,0.40625,39,0.5,-1,NaN,0,NaN,-1,NaN,-1,NaN,-1,NaN
1,2,59,105,1,372,0.555256064690027,85,0.583333333333333,12,0.363636363636364,694,0.561327561327561,1132,0.420866489832007,932,0.505907626208378,867,0.483833718244804,-1,NaN,-1,NaN
1,2,60,105,1,55,0.462962962962963,7,0.5,6,0.8,597,0.498322147651007,525,0.559160305343511,374,0.576407506702413,477,0.649159663865546,-1,NaN,-1,NaN
1,2,61,0,0,-1,NaN,-1,NaN,0,NaN,0,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
1,2,62,0,0,-1,NaN,-1,NaN,0,NaN,18,0.470588235294118,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
1,2,63,0,0,-1,NaN,-1,NaN,1,NaN,26,0.48,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
1,2,64,0,0,-1,NaN,-1,NaN,1,NaN,35,0.441176470588235,-1,NaN,6,0.4,-1,NaN,-1,NaN,0,NaN
1,2,65,0,0,-1,NaN,-1,NaN,1,NaN,6,0.4,-1,NaN,4,0.666666666666667,1,NaN,-1,NaN,-1,NaN
1,2,66,0,0,-1,NaN,-1,NaN,0,NaN,10,0.555555555555556,-1,NaN,0,NaN,-1,NaN,-1,NaN,-1,NaN
1,2,67,0,0,-1,NaN,-1,NaN,2,0,27,0.5,-1,NaN,1,NaN,-1,NaN,-1,NaN,-1,NaN
1,2,68,0,0,-1,NaN,-1,NaN,1,NaN,11,0.5,-1,NaN,0,NaN,-1,NaN,-1,NaN,-1,NaN
