BatchNumber,TrayNumber,FlyID,LineNumber,Sex,n_Week1Day1,rBias_Week1Day1,n_Week1Day2,rBias_Week1Day2,n_Week1Day3,rBias_Week1Day3,n_Week2Day1,rBias_Week2Day1,n_Week2Day2,rBias_Week2Day2,n_Week2Day3,rBias_Week2Day3,n_Week3Day1,rBias_Week3Day1,n_Week3Day2,rBias_Week3Day2,n_Week3Day3,rBias_Week3Day3
1,1,41,105,0,863,0.407192575406032,987,0.419878296146045,254,0.446640316205534,964,0.528556593977155,677,0.560650887573965,441,0.488636363636364,584,0.454545454545455,NaN,NaN,-1,NaN
1,1,42,105,1,1025,0.427734375,990,0.457027300303337,344,0.612244897959184,605,0.468543046357616,377,0.534574468085106,654,0.644716692189893,0,NaN,NaN,NaN,-1,NaN
1,1,43,105,1,1139,0.466608084358524,786,0.499363057324841,718,0.333333333333333,1110,0.219116321009919,625,0.355769230769231,0,NaN,-1,NaN,NaN,NaN,-1,NaN
1,1,44,105,1,801,0.3525,-1,NaN,0,NaN,0,NaN,-1,NaN,11,0.6,-1,NaN,NaN,NaN,-1,NaN
1,1,45,105,1,565,0.650709219858156,665,0.689759036144578,58,0.56140350877193,1,NaN,-1,NaN,7,0.5,-1,NaN,NaN,NaN,-1,NaN
1,1,46,105,1,623,0.530546623794212,735,0.459128065395095,436,0.455172413793103,0,NaN,-1,NaN,2,0,-1,NaN,NaN,NaN,3,0.5
1,1,47,105,1,834,0.414165666266507,775,0.454780361757106,468,0.468950749464668,-1,NaN,-1,NaN,0,NaN,-1,NaN,NaN,NaN,-1,NaN
1,1,48,105,1,234,0.609442060085837,631,0.671428571428571,144,0.496503496503497,781,0.587179487179487,746,0.625503355704698,-1,NaN,-1,NaN,NaN,NaN,-1,NaN
1,1,49,105,1,913,0.4375,806,0.354037267080745,0,NaN,0,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN
1,1,50,105,1,1630,0.408839779005525,640,0.54773082942097,921,0.402173913043478,948,0.42766631467793,793,0.534090909090909,273,0.764705882352941,997,0.597389558232932,NaN,NaN,-1,NaN
1,1,51,105,1,1062,0.528746465598492,971,0.697938144329897,309,0.711038961038961,792,0.638432364096081,668,0.697151424287856,397,0.866161616161616,628,0.685805422647528,NaN,NaN,-1,NaN
1,1,52,796,0,239,0.126050420168067,780,0.228498074454429,23,0.454545454545455,580,0.670120898100173,484,0.670807453416149,271,0.755555555555556,212,0.654028436018957,NaN,NaN,188,0.620320855614973
1,1,53,796,0,167,0.590361445783133,141,0.414285714285714,170,0.485207100591716,471,0.238297872340426,672,0.321907600596125,386,0.301298701298701,276,0.403636363636364,NaN,NaN,315,0.468152866242038
1,1,54,796,0,1,NaN,264,0.749049429657795,28,0.481481481481481,5,0.5,208,0.594202898550725,200,0.582914572864322,390,0.70694087403599,NaN,NaN,22,0.428571428571429
1,1,55,796,0,862,0.452961672473868,1204,0.536159600997506,1012,0.458951533135509,706,0.475177304964539,755,0.481432360742706,568,0.574955908289242,1094,0.409881061299177,NaN,NaN,247,0.386178861788618
1,1,56,796,0,96,0.336842105263158,253,0.626984126984127,361,0.583333333333333,390,0.447300771208226,496,0.557575757575758,35,0.441176470588235,169,0.410714285714286,NaN,NaN,4,0.666666666666667
1,1,57,796,0,106,0.2,456,0.274725274725275,265,0.246212121212121,539,0.444237918215613,430,0.498834498834499,77,0.697368421052632,250,0.586345381526104,NaN,NaN,203,0.391089108910891
1,1,58,796,0,4,0.666666666666667,150,0.557046979865772,223,0.481981981981982,529,0.547348484848485,282,0.551601423487544,162,0.503105590062112,153,0.552631578947368,NaN,NaN,46,0.533333333333333
1,1,59,796,0,533,0.351503759398496,559,0.473118279569892,769,0.419270833333333,569,0.452464788732394,638,0.563579277864992,225,0.602678571428571,264,0.532319391634981,NaN,NaN,90,0.685393258426966
1,1,60,796,0,77,0.578947368421053,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN
1,1,61,796,0,246,0.412244897959184,491,0.614285714285714,17,0.5,1127,0.577264653641208,792,0.54614412136536,857,0.417056074766355,-1,NaN,NaN,NaN,-1,NaN
1,1,62,796,1,748,0.251673360107095,227,0.274336283185841,115,0.368421052631579,679,0.634218289085546,691,0.491304347826087,371,0.227027027027027,713,0.290730337078652,NaN,NaN,-1,NaN
1,1,63,796,1,82,0.666666666666667,232,0.575757575757576,265,0.587121212121212,388,0.478036175710594,577,0.557291666666667,455,0.570484581497797,428,0.641686182669789,NaN,NaN,-1,NaN
1,1,64,796,1,882,0.307604994324631,377,0.412234042553192,207,0.296116504854369,1021,0.511764705882353,930,0.66200215285253,950,0.363540569020021,1490,0.413700470114171,NaN,NaN,-1,NaN
1,1,65,796,1,3,0.5,172,0.432748538011696,274,0.498168498168498,363,0.533149171270718,845,0.509478672985782,520,0.414258188824663,995,0.420523138832998,NaN,NaN,445,0.373873873873874
1,1,66,796,1,111,0.554545454545455,364,0.884297520661157,153,0.657894736842105,1177,0.710034013605442,625,0.564102564102564,398,0.90176322418136,701,0.777142857142857,NaN,NaN,-1,NaN
1,1,67,796,1,110,0.532110091743119,35,0.470588235294118,120,0.478991596638655,534,0.437148217636023,324,0.439628482972136,128,0.535433070866142,426,0.428235294117647,NaN,NaN,293,0.421232876712329
