Flynum,Concentration,Cohort,Trial,Batch,Odor,Occupancy,Day,FlyIDConstant
1,0.39,3,1,1,On,0.584642233856894,1,Yes
2,0.39,3,1,1,On,0.694589877835951,1,Yes
3,0.39,3,1,1,On,0.111692844677138,1,Yes
4,0.39,3,1,1,On,0.7521815008726,1,Yes
5,0.39,3,1,1,On,0.596858638743455,1,Yes
6,0.39,3,1,1,On,0.595113438045375,1,Yes
7,0.39,3,1,1,On,1.0,1,Yes
8,0.39,3,1,1,On,0.839441535776614,1,Yes
9,0.39,3,1,1,On,0.916230366492147,1,Yes
10,0.39,3,1,1,On,0.595113438045375,1,Yes
11,0.39,3,1,1,On,0.870855148342059,1,Yes
12,0.39,3,1,1,On,0.493891797556719,1,Yes
13,0.39,3,1,1,On,0.954624781849913,1,Yes
14,0.39,3,1,1,On,0.584642233856894,1,Yes
15,0.39,3,1,1,On,0.450261780104712,1,Yes
1,0.39,3,1,1,Off,0.560121765601218,1,Yes
2,0.39,3,1,1,Off,0.506849315068493,1,Yes
3,0.39,3,1,1,Off,0.768645357686454,1,Yes
4,0.39,3,1,1,Off,0.506849315068493,1,Yes
5,0.39,3,1,1,Off,0.614916286149163,1,Yes
6,0.39,3,1,1,Off,0.549467275494673,1,Yes
7,0.39,3,1,1,Off,0.531202435312024,1,Yes
8,0.39,3,1,1,Off,0.502283105022831,1,Yes
9,0.39,3,1,1,Off,0.549467275494673,1,Yes
10,0.39,3,1,1,Off,0.779299847792998,1,Yes
11,0.39,3,1,1,Off,0.607305936073059,1,Yes
12,0.39,3,1,1,Off,0.482496194824962,1,Yes
13,0.39,3,1,1,Off,0.567732115677321,1,Yes
14,0.39,3,1,1,Off,0.41248097412481,1,Yes
15,0.39,3,1,1,Off,0.713850837138508,1,Yes
1,0.39,3,1,2,On,0.340604026845638,1,Yes
2,0.39,3,1,2,On,0.486577181208054,1,Yes
3,0.39,3,1,2,On,0.609060402684564,1,Yes
4,0.39,3,1,2,On,0.307046979865772,1,Yes
5,0.39,3,1,2,On,0.523489932885906,1,Yes
6,0.39,3,1,2,On,0.439597315436242,1,Yes
7,0.39,3,1,2,On,0.36241610738255,1,Yes
8,0.39,3,1,2,On,0.543624161073825,1,Yes
9,0.39,3,1,2,On,0.615771812080537,1,Yes
10,0.39,3,1,2,On,0.518456375838926,1,Yes
11,0.39,3,1,2,On,0.619127516778524,1,Yes
12,0.39,3,1,2,On,0.0771812080536913,1,Yes
13,0.39,3,1,2,On,0.38758389261745,1,Yes
14,0.39,3,1,2,On,0.308724832214765,1,Yes
15,0.39,3,1,2,On,0.36744966442953,1,Yes
1,0.39,3,1,2,Off,0.646687697160883,1,Yes
2,0.39,3,1,2,Off,0.408517350157729,1,Yes
3,0.39,3,1,2,Off,0.5,1,Yes
4,0.39,3,1,2,Off,0.451104100946372,1,Yes
5,0.39,3,1,2,Off,0.503154574132492,1,Yes
6,0.39,3,1,2,Off,0.50788643533123,1,Yes
7,0.39,3,1,2,Off,0.498422712933754,1,Yes
8,0.39,3,1,2,Off,0.45583596214511,1,Yes
9,0.39,3,1,2,Off,0.438485804416404,1,Yes
10,0.39,3,1,2,Off,0.536277602523659,1,Yes
11,0.39,3,1,2,Off,0.503154574132492,1,Yes
12,0.39,3,1,2,Off,0.553627760252366,1,Yes
13,0.39,3,1,2,Off,0.577287066246057,1,Yes
14,0.39,3,1,2,Off,0.451104100946372,1,Yes
15,0.39,3,1,2,Off,0.408517350157729,1,Yes
1,0.39,3,1,3,On,0.40034965034965,1,Yes
2,0.39,3,1,3,On,0.0,1,Yes
3,0.39,3,1,3,On,0.512237762237762,1,Yes
4,0.39,3,1,3,On,0.77972027972028,1,Yes
5,0.39,3,1,3,On,0.354895104895105,1,Yes
6,0.39,3,1,3,On,0.522727272727273,1,Yes
7,0.39,3,1,3,On,0.402097902097902,1,Yes
8,0.39,3,1,3,On,0.47027972027972,1,Yes
9,0.39,3,1,3,On,0.440559440559441,1,Yes
10,0.39,3,1,3,On,0.377622377622378,1,Yes
11,0.39,3,1,3,On,0.477272727272727,1,Yes
12,0.39,3,1,3,On,0.166083916083916,1,Yes
13,0.39,3,1,3,On,0.486013986013986,1,Yes
14,0.39,3,1,3,On,0.699300699300699,1,Yes
15,0.39,3,1,3,On,0.636363636363636,1,Yes
1,0.39,3,1,3,Off,0.455223880597015,1,Yes
2,0.39,3,1,3,Off,0.502985074626866,1,Yes
3,0.39,3,1,3,Off,0.471641791044776,1,Yes
4,0.39,3,1,3,Off,0.53134328358209,1,Yes
5,0.39,3,1,3,Off,0.537313432835821,1,Yes
6,0.39,3,1,3,Off,0.362686567164179,1,Yes
7,0.39,3,1,3,Off,0.514925373134328,1,Yes
8,0.39,3,1,3,Off,0.604477611940298,1,Yes
9,0.39,3,1,3,Off,0.498507462686567,1,Yes
10,0.39,3,1,3,Off,0.480597014925373,1,Yes
11,0.39,3,1,3,Off,0.32089552238806,1,Yes
12,0.39,3,1,3,Off,0.495522388059702,1,Yes
13,0.39,3,1,3,Off,0.538805970149254,1,Yes
14,0.39,3,1,3,Off,0.42089552238806,1,Yes
15,0.39,3,1,3,Off,0.364179104477612,1,Yes
1,0.39,3,1,4,On,0.33,1,Yes
2,0.39,3,1,4,On,0.581666666666667,1,Yes
3,0.39,3,1,4,On,0.348333333333333,1,Yes
4,0.39,3,1,4,On,0.445,1,Yes
5,0.39,3,1,4,On,0.548333333333333,1,Yes
6,0.39,3,1,4,On,0.466666666666667,1,Yes
7,0.39,3,1,4,On,0.396666666666667,1,Yes
8,0.39,3,1,4,On,0.63,1,Yes
9,0.39,3,1,4,On,0.558333333333333,1,Yes
10,0.39,3,1,4,On,0.273333333333333,1,Yes
11,0.39,3,1,4,On,0.33,1,Yes
12,0.39,3,1,4,On,0.515,1,Yes
13,0.39,3,1,4,On,0.468333333333333,1,Yes
14,0.39,3,1,4,On,0.343333333333333,1,Yes
15,0.39,3,1,4,On,0.616666666666667,1,Yes
1,0.39,3,1,4,Off,0.564788732394366,1,Yes
2,0.39,3,1,4,Off,0.474647887323944,1,Yes
3,0.39,3,1,4,Off,0.464788732394366,1,Yes
4,0.39,3,1,4,Off,0.484507042253521,1,Yes
5,0.39,3,1,4,Off,0.463380281690141,1,Yes
6,0.39,3,1,4,Off,0.628169014084507,1,Yes
7,0.39,3,1,4,Off,0.394366197183099,1,Yes
8,0.39,3,1,4,Off,0.429577464788732,1,Yes
9,0.39,3,1,4,Off,0.473239436619718,1,Yes
10,0.39,3,1,4,Off,0.429577464788732,1,Yes
11,0.39,3,1,4,Off,0.463380281690141,1,Yes
12,0.39,3,1,4,Off,0.380281690140845,1,Yes
