Flynum,Concentration,Cohort,Trial,Batch,Odor,Occupancy,Day,FlyIDConstant
1,0.39,1,1,1,On,0.865291262135922,1,Yes
2,0.39,1,1,1,On,0.106796116504854,1,Yes
3,0.39,1,1,1,On,0.303398058252427,1,Yes
4,0.39,1,1,1,On,0.866504854368932,1,Yes
5,0.39,1,1,1,On,0.354368932038835,1,Yes
6,0.39,1,1,1,On,0.796116504854369,1,Yes
7,0.39,1,1,1,On,0.544902912621359,1,Yes
8,0.39,1,1,1,On,0.878640776699029,1,Yes
9,0.39,1,1,1,On,0.581310679611651,1,Yes
10,0.39,1,1,1,On,0.145631067961165,1,Yes
11,0.39,1,1,1,On,0.387135922330097,1,Yes
12,0.39,1,1,1,On,0.813106796116505,1,Yes
13,0.39,1,1,1,On,0.180825242718447,1,Yes
14,0.39,1,1,1,On,0.223300970873786,1,Yes
15,0.39,1,1,1,On,0.79004854368932,1,Yes
1,0.39,1,1,1,Off,0.49678800856531,1,Yes
2,0.39,1,1,1,Off,0.514989293361884,1,Yes
3,0.39,1,1,1,Off,0.770877944325482,1,Yes
4,0.39,1,1,1,Off,0.489293361884368,1,Yes
5,0.39,1,1,1,Off,0.464668094218415,1,Yes
6,0.39,1,1,1,Off,0.462526766595289,1,Yes
7,0.39,1,1,1,Off,0.581370449678801,1,Yes
8,0.39,1,1,1,Off,0.669164882226981,1,Yes
9,0.39,1,1,1,Off,0.474304068522484,1,Yes
10,0.39,1,1,1,Off,0.467880085653105,1,Yes
11,0.39,1,1,1,Off,0.526766595289079,1,Yes
12,0.39,1,1,1,Off,0.457173447537473,1,Yes
13,0.39,1,1,1,Off,0.397216274089936,1,Yes
14,0.39,1,1,1,Off,0.568522483940043,1,Yes
15,0.39,1,1,1,Off,0.682012847965739,1,Yes
1,0.39,1,1,2,On,0.160098522167488,1,Yes
2,0.39,1,1,2,On,0.688423645320197,1,Yes
3,0.39,1,1,2,On,0.566502463054187,1,Yes
4,0.39,1,1,2,On,0.171182266009852,1,Yes
5,0.39,1,1,2,On,0.0,1,Yes
6,0.39,1,1,2,On,0.279556650246305,1,Yes
7,0.39,1,1,2,On,0.291871921182266,1,Yes
8,0.39,1,1,2,On,0.502463054187192,1,Yes
9,0.39,1,1,2,On,0.519704433497537,1,Yes
10,0.39,1,1,2,On,0.58128078817734,1,Yes
