Flynum,Concentration,Cohort,Week,Trial,Batch,Odor,Occupancy,Day,FlyIDConstant
1,0.39,6,3,1,1,On,0.630340017436792,2,Yes
2,0.39,6,3,1,1,On,0.591107236268527,2,Yes
3,0.39,6,3,1,1,On,0.460331299040976,2,Yes
4,0.39,6,3,1,1,On,0.647776809067132,2,Yes
5,0.39,6,3,1,1,On,0.550130775937228,2,Yes
6,0.39,6,3,1,1,On,0.755013077593723,2,Yes
7,0.39,6,3,1,1,On,0.791630340017437,2,Yes
8,0.39,6,3,1,1,On,0.748910200523104,2,Yes
9,0.39,6,3,1,1,On,0.69485614646905,2,Yes
10,0.39,6,3,1,1,On,0.538796861377506,2,Yes
11,0.39,6,3,1,1,On,0.361813426329555,2,Yes
12,0.39,6,3,1,1,On,0.619877942458588,2,Yes
13,0.39,6,3,1,1,On,0.625980819529207,2,Yes
14,0.39,6,3,1,1,On,0.650392327811683,2,Yes
15,0.39,6,3,1,1,On,0.339145597210113,2,Yes
1,0.39,6,3,1,1,Off,0.005591054313099,2,Yes
2,0.39,6,3,1,1,Off,0.773162939297125,2,Yes
3,0.39,6,3,1,1,Off,0.593450479233227,2,Yes
4,0.39,6,3,1,1,Off,0.469648562300319,2,Yes
5,0.39,6,3,1,1,Off,0.409744408945687,2,Yes
6,0.39,6,3,1,1,Off,0.549520766773163,2,Yes
7,0.39,6,3,1,1,Off,0.571884984025559,2,Yes
8,0.39,6,3,1,1,Off,0.0854632587859425,2,Yes
9,0.39,6,3,1,1,Off,0.152555910543131,2,Yes
10,0.39,6,3,1,1,Off,0.415335463258786,2,Yes
11,0.39,6,3,1,1,Off,0.465654952076677,2,Yes
12,0.39,6,3,1,1,Off,0.530351437699681,2,Yes
13,0.39,6,3,1,1,Off,0.59185303514377,2,Yes
14,0.39,6,3,1,1,Off,1.0,2,Yes
15,0.39,6,3,1,1,Off,0.0319488817891374,2,Yes
1,0.39,6,3,1,2,On,0.102654867256637,2,Yes
2,0.39,6,3,1,2,On,0.705309734513274,2,Yes
3,0.39,6,3,1,2,On,0.144247787610619,2,Yes
4,0.39,6,3,1,2,On,0.215929203539823,2,Yes
5,0.39,6,3,1,2,On,0.369026548672566,2,Yes
6,0.39,6,3,1,2,On,0.457522123893805,2,Yes
7,0.39,6,3,1,2,On,0.871681415929204,2,Yes
8,0.39,6,3,1,2,On,0.893805309734513,2,Yes
9,0.39,6,3,1,2,On,0.590265486725664,2,Yes
10,0.39,6,3,1,2,On,0.711504424778761,2,Yes
11,0.39,6,3,1,2,On,0.308849557522124,2,Yes
12,0.39,6,3,1,2,On,0.757522123893805,2,Yes
13,0.39,6,3,1,2,On,0.672566371681416,2,Yes
14,0.39,6,3,1,2,On,0.819469026548673,2,Yes
15,0.39,6,3,1,2,On,0.798230088495575,2,Yes
