Flynum,Concentration,Cohort,Week,Trial,Batch,Odor,Occupancy,Day,FlyIDConstant
1,0.39,6,2,1,1,On,0.602608695652174,2,Yes
2,0.39,6,2,1,1,On,0.0530434782608696,2,Yes
3,0.39,6,2,1,1,On,0.525217391304348,2,Yes
4,0.39,6,2,1,1,On,0.277391304347826,2,Yes
5,0.39,6,2,1,1,On,0.456521739130435,2,Yes
6,0.39,6,2,1,1,On,0.65304347826087,2,Yes
7,0.39,6,2,1,1,On,0.806086956521739,2,Yes
8,0.39,6,2,1,1,On,0.157391304347826,2,Yes
9,0.39,6,2,1,1,On,0.08,2,Yes
10,0.39,6,2,1,1,On,0.565217391304348,2,Yes
11,0.39,6,2,1,1,On,0.321739130434783,2,Yes
12,0.39,6,2,1,1,On,0.239130434782609,2,Yes
13,0.39,6,2,1,1,On,0.157391304347826,2,Yes
14,0.39,6,2,1,1,On,0.478260869565217,2,Yes
15,0.39,6,2,1,1,On,0.406086956521739,2,Yes
1,0.39,6,2,1,1,Off,0.331091180866966,2,Yes
2,0.39,6,2,1,1,Off,0.617339312406577,2,Yes
3,0.39,6,2,1,1,Off,0.5949177877429,2,Yes
4,0.39,6,2,1,1,Off,0.444693572496263,2,Yes
5,0.39,6,2,1,1,Off,0.54559043348281,2,Yes
6,0.39,6,2,1,1,Off,0.469357249626308,2,Yes
7,0.39,6,2,1,1,Off,0.520926756352765,2,Yes
8,0.39,6,2,1,1,Off,0.455904334828102,2,Yes
9,0.39,6,2,1,1,Off,0.476831091180867,2,Yes
10,0.39,6,2,1,1,Off,0.612855007473842,2,Yes
11,0.39,6,2,1,1,Off,0.455904334828102,2,Yes
12,0.39,6,2,1,1,Off,0.466367713004484,2,Yes
13,0.39,6,2,1,1,Off,0.5,2,Yes
14,0.39,6,2,1,1,Off,0.446935724962631,2,Yes
15,0.39,6,2,1,1,Off,0.085949177877429,2,Yes
1,0.39,6,2,1,2,On,0.67449956483899,2,Yes
2,0.39,6,2,1,2,On,0.702349869451697,2,Yes
3,0.39,6,2,1,2,On,0.512619669277633,2,Yes
4,0.39,6,2,1,2,On,0.732811140121845,2,Yes
5,0.39,6,2,1,2,On,0.328981723237598,2,Yes
6,0.39,6,2,1,2,On,0.391644908616188,2,Yes
7,0.39,6,2,1,2,On,0.147954743255004,2,Yes
8,0.39,6,2,1,2,On,0.602262837249782,2,Yes
9,0.39,6,2,1,2,On,0.561357702349869,2,Yes
10,0.39,6,2,1,2,On,0.646649260226284,2,Yes
11,0.39,6,2,1,2,On,0.809399477806789,2,Yes
12,0.39,6,2,1,2,On,0.14621409921671,2,Yes
13,0.39,6,2,1,2,On,0.326370757180157,2,Yes
14,0.39,6,2,1,2,On,0.662315056570931,2,Yes
15,0.39,6,2,1,2,On,0.768494342906876,2,Yes
1,0.39,6,2,1,2,Off,0.582384206529992,2,Yes
2,0.39,6,2,1,2,Off,0.655277145026576,2,Yes
3,0.39,6,2,1,2,Off,0.550493545937737,2,Yes
4,0.39,6,2,1,2,Off,0.5292331055429,2,Yes
5,0.39,6,2,1,2,Off,0.35459377372817,2,Yes
6,0.39,6,2,1,2,Off,0.321184510250569,2,Yes
7,0.39,6,2,1,2,Off,0.420652999240699,2,Yes
8,0.39,6,2,1,2,Off,0.389521640091116,2,Yes
9,0.39,6,2,1,2,Off,0.987851176917236,2,Yes
10,0.39,6,2,1,2,Off,0.416097190584662,2,Yes
11,0.39,6,2,1,2,Off,0.456340167046317,2,Yes
12,0.39,6,2,1,2,Off,0.52619589977221,2,Yes
13,0.39,6,2,1,2,Off,0.57630979498861,2,Yes
14,0.39,6,2,1,2,Off,0.305998481397115,2,Yes
15,0.39,6,2,1,2,Off,0.485193621867882,2,Yes
1,0.39,6,2,1,3,On,0.586497890295359,2,Yes
2,0.39,6,2,1,3,On,0.642194092827004,2,Yes
3,0.39,6,2,1,3,On,0.310548523206751,2,Yes
4,0.39,6,2,1,3,On,0.712236286919831,2,Yes
5,0.39,6,2,1,3,On,0.443037974683544,2,Yes
6,0.39,6,2,1,3,On,0.80084388185654,2,Yes
7,0.39,6,2,1,3,On,0.537552742616034,2,Yes
8,0.39,6,2,1,3,On,0.509704641350211,2,Yes
9,0.39,6,2,1,3,On,0.647257383966245,2,Yes
10,0.39,6,2,1,3,On,0.592405063291139,2,Yes
11,0.39,6,2,1,3,On,0.687763713080169,2,Yes
12,0.39,6,2,1,3,On,0.464978902953587,2,Yes
13,0.39,6,2,1,3,On,0.0219409282700422,2,Yes
14,0.39,6,2,1,3,On,0.40337552742616,2,Yes
15,0.39,6,2,1,3,On,0.743459915611814,2,Yes
1,0.39,6,2,1,3,Off,0.525735294117647,2,Yes
2,0.39,6,2,1,3,Off,0.544852941176471,2,Yes
3,0.39,6,2,1,3,Off,0.458088235294118,2,Yes
4,0.39,6,2,1,3,Off,0.555882352941176,2,Yes
5,0.39,6,2,1,3,Off,0.489705882352941,2,Yes
