Flynum,Concentration,Cohort,Week,Trial,Batch,Odor,Occupancy,Day,FlyIDConstant
1,0.39,6,2,1,1,On,0.513864818024263,1,Yes
2,0.39,6,2,1,1,On,0.0944540727902946,1,Yes
3,0.39,6,2,1,1,On,0.348353552859619,1,Yes
4,0.39,6,2,1,1,On,0.0849220103986135,1,Yes
5,0.39,6,2,1,1,On,0.476603119584055,1,Yes
6,0.39,6,2,1,1,On,0.433275563258232,1,Yes
7,0.39,6,2,1,1,On,0.838821490467938,1,Yes
8,0.39,6,2,1,1,On,0.651646447140381,1,Yes
9,0.39,6,2,1,1,On,0.633448873483536,1,Yes
10,0.39,6,2,1,1,On,0.350953206239168,1,Yes
11,0.39,6,2,1,1,On,0.448873483535529,1,Yes
12,0.39,6,2,1,1,On,0.725303292894281,1,Yes
13,0.39,6,2,1,1,On,0.116984402079723,1,Yes
14,0.39,6,2,1,1,On,0.427209705372617,1,Yes
15,0.39,6,2,1,1,On,0.690641247833622,1,Yes
1,0.39,6,2,1,1,Off,0.0290297937356761,1,Yes
2,0.39,6,2,1,1,Off,0.863254392666157,1,Yes
3,0.39,6,2,1,1,Off,0.0381970970206264,1,Yes
4,0.39,6,2,1,1,Off,0.163483575248281,1,Yes
5,0.39,6,2,1,1,Off,0.142857142857143,1,Yes
6,0.39,6,2,1,1,Off,0.276546982429335,1,Yes
7,0.39,6,2,1,1,Off,0.697478991596639,1,Yes
8,0.39,6,2,1,1,Off,0.428571428571429,1,Yes
9,0.39,6,2,1,1,Off,0.549274255156608,1,Yes
10,0.39,6,2,1,1,Off,0.520244461420932,1,Yes
11,0.39,6,2,1,1,Off,0.516424751718869,1,Yes
12,0.39,6,2,1,1,Off,0.624140565317036,1,Yes
13,0.39,6,2,1,1,Off,0.550802139037433,1,Yes
14,0.39,6,2,1,1,Off,0.724216959511077,1,Yes
15,0.39,6,2,1,1,Off,0.725744843391902,1,Yes
1,0.39,6,2,1,2,On,0.811965811965812,1,Yes
2,0.39,6,2,1,2,On,0.658119658119658,1,Yes
3,0.39,6,2,1,2,On,0.652136752136752,1,Yes
