Flynum,Concentration,Cohort,Trial,Batch,Odor,Occupancy,Day,FlyIDConstant
1,0.39,2,1,1,On,0.80026455026455,2,Yes
2,0.39,2,1,1,On,0.695767195767196,2,Yes
3,0.39,2,1,1,On,1.0,2,Yes
4,0.39,2,1,1,On,0.853174603174603,2,Yes
5,0.39,2,1,1,On,0.808201058201058,2,Yes
6,0.39,2,1,1,On,0.912698412698413,2,Yes
7,0.39,2,1,1,On,0.947089947089947,2,Yes
8,0.39,2,1,1,On,0.19973544973545,2,Yes
9,0.39,2,1,1,On,0.947089947089947,2,Yes
10,0.39,2,1,1,On,0.917989417989418,2,Yes
11,0.39,2,1,1,On,0.0,2,Yes
12,0.39,2,1,1,On,0.833333333333333,2,Yes
13,0.39,2,1,1,On,0.784391534391534,2,Yes
14,0.39,2,1,1,On,0.850529100529101,2,Yes
15,0.39,2,1,1,On,0.661375661375661,2,Yes
1,0.39,2,1,1,Off,0.487719298245614,2,Yes
2,0.39,2,1,1,Off,0.350877192982456,2,Yes
3,0.39,2,1,1,Off,0.446783625730994,2,Yes
4,0.39,2,1,1,Off,0.697076023391813,2,Yes
5,0.39,2,1,1,Off,0.411695906432749,2,Yes
6,0.39,2,1,1,Off,0.146198830409357,2,Yes
7,0.39,2,1,1,Off,0.488888888888889,2,Yes
8,0.39,2,1,1,Off,0.101754385964912,2,Yes
9,0.39,2,1,1,Off,0.516959064327485,2,Yes
10,0.39,2,1,1,Off,0.466666666666667,2,Yes
11,0.39,2,1,1,Off,0.0,2,Yes
12,0.39,2,1,1,Off,0.500584795321637,2,Yes
13,0.39,2,1,1,Off,0.491228070175439,2,Yes
14,0.39,2,1,1,Off,0.592982456140351,2,Yes
15,0.39,2,1,1,Off,0.576608187134503,2,Yes
1,0.39,2,1,2,On,0.165738161559889,2,Yes
2,0.39,2,1,2,On,0.222841225626741,2,Yes
3,0.39,2,1,2,On,0.210306406685237,2,Yes
4,0.39,2,1,2,On,0.0083565459610027,2,Yes
5,0.39,2,1,2,On,0.784122562674095,2,Yes
6,0.39,2,1,2,On,0.403899721448468,2,Yes
7,0.39,2,1,2,On,0.448467966573816,2,Yes
8,0.39,2,1,2,On,0.445682451253482,2,Yes
9,0.39,2,1,2,On,0.247910863509749,2,Yes
10,0.39,2,1,2,On,0.430362116991643,2,Yes
11,0.39,2,1,2,On,0.442896935933148,2,Yes
12,0.39,2,1,2,On,0.112813370473538,2,Yes
13,0.39,2,1,2,On,0.331476323119777,2,Yes
14,0.39,2,1,2,On,0.374651810584958,2,Yes
15,0.39,2,1,2,On,0.172701949860724,2,Yes
1,0.39,2,1,2,Off,0.592074592074592,2,Yes
2,0.39,2,1,2,Off,0.56993006993007,2,Yes
3,0.39,2,1,2,Off,0.515151515151515,2,Yes
4,0.39,2,1,2,Off,0.411421911421911,2,Yes
5,0.39,2,1,2,Off,0.532634032634033,2,Yes
6,0.39,2,1,2,Off,0.585081585081585,2,Yes
7,0.39,2,1,2,Off,0.578088578088578,2,Yes
8,0.39,2,1,2,Off,0.262237762237762,2,Yes
9,0.39,2,1,2,Off,0.448717948717949,2,Yes
10,0.39,2,1,2,Off,0.416083916083916,2,Yes
11,0.39,2,1,2,Off,0.462703962703963,2,Yes
12,0.39,2,1,2,Off,0.407925407925408,2,Yes
13,0.39,2,1,2,Off,0.426573426573427,2,Yes
14,0.39,2,1,2,Off,0.548951048951049,2,Yes
15,0.39,2,1,2,Off,0.445221445221445,2,Yes
1,0.39,2,1,3,On,0.31129476584022,2,Yes
2,0.39,2,1,3,On,0.53030303030303,2,Yes
3,0.39,2,1,3,On,0.444903581267218,2,Yes
4,0.39,2,1,3,On,0.0564738292011019,2,Yes
5,0.39,2,1,3,On,0.239669421487603,2,Yes
6,0.39,2,1,3,On,0.239669421487603,2,Yes
7,0.39,2,1,3,On,0.556473829201102,2,Yes
8,0.39,2,1,3,On,0.330578512396694,2,Yes
9,0.39,2,1,3,On,0.443526170798898,2,Yes
10,0.39,2,1,3,On,0.203856749311295,2,Yes
11,0.39,2,1,3,On,0.370523415977961,2,Yes
12,0.39,2,1,3,On,0.327823691460055,2,Yes
13,0.39,2,1,3,On,0.359504132231405,2,Yes
14,0.39,2,1,3,On,0.461432506887052,2,Yes
15,0.39,2,1,3,On,0.413223140495868,2,Yes
1,0.39,2,1,3,Off,0.360381861575179,2,Yes
2,0.39,2,1,3,Off,0.528639618138425,2,Yes
3,0.39,2,1,3,Off,0.656324582338902,2,Yes
4,0.39,2,1,3,Off,0.552505966587112,2,Yes
5,0.39,2,1,3,Off,0.416467780429594,2,Yes
6,0.39,2,1,3,Off,0.440334128878282,2,Yes
7,0.39,2,1,3,Off,0.460620525059666,2,Yes
8,0.39,2,1,3,Off,0.558472553699284,2,Yes
9,0.39,2,1,3,Off,0.287589498806683,2,Yes
10,0.39,2,1,3,Off,0.595465393794749,2,Yes
11,0.39,2,1,3,Off,0.585918854415274,2,Yes
12,0.39,2,1,3,Off,0.485680190930788,2,Yes
13,0.39,2,1,3,Off,0.431980906921241,2,Yes
14,0.39,2,1,3,Off,0.436754176610979,2,Yes
15,0.39,2,1,3,Off,0.522673031026253,2,Yes
1,0.39,2,1,4,On,0.328785811732606,2,Yes
2,0.39,2,1,4,On,0.414733969986357,2,Yes
3,0.39,2,1,4,On,0.540245566166439,2,Yes
4,0.39,2,1,4,On,0.0122783083219645,2,Yes
5,0.39,2,1,4,On,0.122783083219645,2,Yes
6,0.39,2,1,4,On,0.185538881309686,2,Yes
7,0.39,2,1,4,On,0.353342428376535,2,Yes
8,0.39,2,1,4,On,0.0286493860845839,2,Yes
9,0.39,2,1,4,On,0.511596180081855,2,Yes
10,0.39,2,1,4,On,0.0,2,Yes
11,0.39,2,1,4,On,0.381991814461119,2,Yes
12,0.39,2,1,4,On,0.225102319236016,2,Yes
13,0.39,2,1,4,On,0.455661664392906,2,Yes
14,0.39,2,1,4,On,0.20600272851296,2,Yes
15,0.39,2,1,4,On,0.451568894952251,2,Yes
1,0.39,2,1,4,Off,0.594219653179191,2,Yes
2,0.39,2,1,4,Off,0.58150289017341,2,Yes
3,0.39,2,1,4,Off,0.538728323699422,2,Yes
4,0.39,2,1,4,Off,0.279768786127168,2,Yes
5,0.39,2,1,4,Off,0.660115606936416,2,Yes
6,0.39,2,1,4,Off,0.616184971098266,2,Yes
7,0.39,2,1,4,Off,0.47514450867052,2,Yes
8,0.39,2,1,4,Off,0.567630057803468,2,Yes
9,0.39,2,1,4,Off,0.236994219653179,2,Yes
10,0.39,2,1,4,Off,0.0,2,Yes
11,0.39,2,1,4,Off,0.44393063583815,2,Yes
12,0.39,2,1,4,Off,0.357225433526012,2,Yes
13,0.39,2,1,4,Off,0.376878612716763,2,Yes
14,0.39,2,1,4,Off,0.375722543352601,2,Yes
15,0.39,2,1,4,Off,0.352601156069364,2,Yes
1,0.39,2,2,1,On,0.341160220994475,2,Yes
2,0.39,2,2,1,On,0.135359116022099,2,Yes
3,0.39,2,2,1,On,0.49171270718232,2,Yes
4,0.39,2,2,1,On,0.272099447513812,2,Yes
5,0.39,2,2,1,On,0.585635359116022,2,Yes
6,0.39,2,2,1,On,0.216850828729282,2,Yes
7,0.39,2,2,1,On,0.0801104972375691,2,Yes
8,0.39,2,2,1,On,0.921270718232044,2,Yes
9,0.39,2,2,1,On,0.180939226519337,2,Yes
10,0.39,2,2,1,On,0.426795580110497,2,Yes
11,0.39,2,2,1,On,0.468232044198895,2,Yes
12,0.39,2,2,1,On,0.0524861878453039,2,Yes
13,0.39,2,2,1,On,0.255524861878453,2,Yes
14,0.39,2,2,1,On,0.151933701657459,2,Yes
15,0.39,2,2,1,On,0.389502762430939,2,Yes
1,0.39,2,2,1,Off,0.445601851851852,2,Yes
2,0.39,2,2,1,Off,0.423611111111111,2,Yes
3,0.39,2,2,1,Off,0.434027777777778,2,Yes
4,0.39,2,2,1,Off,0.431712962962963,2,Yes
5,0.39,2,2,1,Off,0.46412037037037,2,Yes
6,0.39,2,2,1,Off,0.03125,2,Yes
7,0.39,2,2,1,Off,0.446759259259259,2,Yes
8,0.39,2,2,1,Off,0.863425925925926,2,Yes
9,0.39,2,2,1,Off,0.435185185185185,2,Yes
10,0.39,2,2,1,Off,0.584490740740741,2,Yes
11,0.39,2,2,1,Off,0.554398148148148,2,Yes
12,0.39,2,2,1,Off,0.413194444444444,2,Yes
13,0.39,2,2,1,Off,0.49537037037037,2,Yes
14,0.39,2,2,1,Off,0.436342592592593,2,Yes
15,0.39,2,2,1,Off,0.552083333333333,2,Yes
1,0.39,2,2,2,On,0.103448275862069,2,Yes
2,0.39,2,2,2,On,0.013262599469496,2,Yes
3,0.39,2,2,2,On,0.587533156498674,2,Yes
4,0.39,2,2,2,On,0.0,2,Yes
5,0.39,2,2,2,On,0.896551724137931,2,Yes
6,0.39,2,2,2,On,0.16710875331565,2,Yes
7,0.39,2,2,2,On,0.149867374005305,2,Yes
8,0.39,2,2,2,On,0.46684350132626,2,Yes
9,0.39,2,2,2,On,0.363395225464191,2,Yes
10,0.39,2,2,2,On,0.429708222811671,2,Yes
11,0.39,2,2,2,On,0.530503978779841,2,Yes
12,0.39,2,2,2,On,0.0106100795755968,2,Yes
13,0.39,2,2,2,On,0.741379310344828,2,Yes
14,0.39,2,2,2,On,0.496021220159151,2,Yes
15,0.39,2,2,2,On,0.220159151193634,2,Yes
