Flynum,Concentration,Cohort,Trial,Batch,Odor,Occupancy,Day,FlyIDConstant
1,0.39,3,1,1,On,0.645027624309392,2,Yes
2,0.39,3,1,1,On,0.722375690607735,2,Yes
3,0.39,3,1,1,On,0.533149171270718,2,Yes
4,0.39,3,1,1,On,0.943370165745856,2,Yes
5,0.39,3,1,1,On,0.748618784530387,2,Yes
6,0.39,3,1,1,On,0.866022099447514,2,Yes
7,0.39,3,1,1,On,0.950276243093923,2,Yes
8,0.39,3,1,1,On,0.845303867403315,2,Yes
9,0.39,3,1,1,On,0.970994475138122,2,Yes
10,0.39,3,1,1,On,0.524861878453039,2,Yes
11,0.39,3,1,1,On,0.704419889502762,2,Yes
12,0.39,3,1,1,On,0.761049723756906,2,Yes
13,0.39,3,1,1,On,0.62292817679558,2,Yes
14,0.39,3,1,1,On,0.62707182320442,2,Yes
15,0.39,3,1,1,On,0.961325966850829,2,Yes
1,0.39,3,1,1,Off,0.363858363858364,2,Yes
2,0.39,3,1,1,Off,0.551892551892552,2,Yes
3,0.39,3,1,1,Off,0.562881562881563,2,Yes
4,0.39,3,1,1,Off,0.462759462759463,2,Yes
5,0.39,3,1,1,Off,0.494505494505495,2,Yes
6,0.39,3,1,1,Off,0.575091575091575,2,Yes
7,0.39,3,1,1,Off,0.567765567765568,2,Yes
8,0.39,3,1,1,Off,0.606837606837607,2,Yes
9,0.39,3,1,1,Off,0.527472527472527,2,Yes
10,0.39,3,1,1,Off,0.465201465201465,2,Yes
11,0.39,3,1,1,Off,0.594627594627595,2,Yes
12,0.39,3,1,1,Off,0.482295482295482,2,Yes
13,0.39,3,1,1,Off,0.506715506715507,2,Yes
14,0.39,3,1,1,Off,0.431013431013431,2,Yes
15,0.39,3,1,1,Off,0.503052503052503,2,Yes
1,0.39,3,1,2,On,0.591569767441861,2,Yes
2,0.39,3,1,2,On,0.504360465116279,2,Yes
3,0.39,3,1,2,On,0.552325581395349,2,Yes
4,0.39,3,1,2,On,0.239825581395349,2,Yes
5,0.39,3,1,2,On,0.559593023255814,2,Yes
6,0.39,3,1,2,On,0.556686046511628,2,Yes
7,0.39,3,1,2,On,0.520348837209302,2,Yes
8,0.39,3,1,2,On,0.649709302325581,2,Yes
9,0.39,3,1,2,On,0.286337209302326,2,Yes
10,0.39,3,1,2,On,0.456395348837209,2,Yes
11,0.39,3,1,2,On,0.533430232558139,2,Yes
12,0.39,3,1,2,On,0.273255813953488,2,Yes
13,0.39,3,1,2,On,0.571220930232558,2,Yes
14,0.39,3,1,2,On,0.229651162790698,2,Yes
15,0.39,3,1,2,On,0.251453488372093,2,Yes
1,0.39,3,1,2,Off,0.47125,2,Yes
2,0.39,3,1,2,Off,0.5075,2,Yes
3,0.39,3,1,2,Off,0.47,2,Yes
4,0.39,3,1,2,Off,0.52625,2,Yes
5,0.39,3,1,2,Off,0.52875,2,Yes
6,0.39,3,1,2,Off,0.52875,2,Yes
7,0.39,3,1,2,Off,0.495,2,Yes
8,0.39,3,1,2,Off,0.42125,2,Yes
9,0.39,3,1,2,Off,0.4525,2,Yes
10,0.39,3,1,2,Off,0.50875,2,Yes
11,0.39,3,1,2,Off,0.445,2,Yes
12,0.39,3,1,2,Off,0.61625,2,Yes
13,0.39,3,1,2,Off,0.465,2,Yes
14,0.39,3,1,2,Off,0.20375,2,Yes
15,0.39,3,1,2,Off,0.28125,2,Yes
1,0.39,3,1,3,On,0.0085959885386819,2,Yes
2,0.39,3,1,3,On,0.156160458452722,2,Yes
3,0.39,3,1,3,On,0.434097421203438,2,Yes
4,0.39,3,1,3,On,0.491404011461318,2,Yes
5,0.39,3,1,3,On,0.491404011461318,2,Yes
6,0.39,3,1,3,On,0.297994269340974,2,Yes
7,0.39,3,1,3,On,0.267908309455587,2,Yes
8,0.39,3,1,3,On,0.305157593123209,2,Yes
9,0.39,3,1,3,On,0.623209169054441,2,Yes
10,0.39,3,1,3,On,0.297994269340974,2,Yes
11,0.39,3,1,3,On,0.558739255014327,2,Yes
12,0.39,3,1,3,On,0.148997134670487,2,Yes
13,0.39,3,1,3,On,0.45702005730659,2,Yes
14,0.39,3,1,3,On,0.191977077363897,2,Yes
15,0.39,3,1,3,On,0.136103151862464,2,Yes
1,0.39,3,1,3,Off,0.435643564356436,2,Yes
2,0.39,3,1,3,Off,0.457920792079208,2,Yes
3,0.39,3,1,3,Off,0.59529702970297,2,Yes
4,0.39,3,1,3,Off,0.540841584158416,2,Yes
5,0.39,3,1,3,Off,0.503712871287129,2,Yes
6,0.39,3,1,3,Off,0.445544554455446,2,Yes
7,0.39,3,1,3,Off,0.456683168316832,2,Yes
8,0.39,3,1,3,Off,0.405940594059406,2,Yes
9,0.39,3,1,3,Off,0.522277227722772,2,Yes
10,0.39,3,1,3,Off,0.305693069306931,2,Yes
11,0.39,3,1,3,Off,0.475247524752475,2,Yes
12,0.39,3,1,3,Off,0.53960396039604,2,Yes
13,0.39,3,1,3,Off,0.358910891089109,2,Yes
14,0.39,3,1,3,Off,0.482673267326733,2,Yes
15,0.39,3,1,3,Off,0.205445544554455,2,Yes
1,0.39,3,1,4,On,1.0,2,Yes
2,0.39,3,1,4,On,0.662790697674419,2,Yes
3,0.39,3,1,4,On,0.430232558139535,2,Yes
4,0.39,3,1,4,On,0.369186046511628,2,Yes
5,0.39,3,1,4,On,0.513081395348837,2,Yes
6,0.39,3,1,4,On,0.478197674418605,2,Yes
7,0.39,3,1,4,On,0.248546511627907,2,Yes
8,0.39,3,1,4,On,0.428779069767442,2,Yes
9,0.39,3,1,4,On,0.396802325581395,2,Yes
10,0.39,3,1,4,On,0.552325581395349,2,Yes
11,0.39,3,1,4,On,0.468023255813953,2,Yes
12,0.39,3,1,4,On,0.648255813953488,2,Yes
13,0.39,3,1,4,On,0.645348837209302,2,Yes
14,0.39,3,1,4,On,0.0843023255813953,2,Yes
15,0.39,3,1,4,On,0.502906976744186,2,Yes
1,0.39,3,1,4,Off,1.0,2,Yes
2,0.39,3,1,4,Off,0.548899755501222,2,Yes
3,0.39,3,1,4,Off,0.596577017114914,2,Yes
4,0.39,3,1,4,Off,0.421760391198044,2,Yes
5,0.39,3,1,4,Off,0.465770171149144,2,Yes
6,0.39,3,1,4,Off,0.550122249388753,2,Yes
7,0.39,3,1,4,Off,0.451100244498778,2,Yes
8,0.39,3,1,4,Off,0.437652811735941,2,Yes
9,0.39,3,1,4,Off,0.381418092909535,2,Yes
10,0.39,3,1,4,Off,0.52200488997555,2,Yes
11,0.39,3,1,4,Off,0.5880195599022,2,Yes
12,0.39,3,1,4,Off,0.492665036674817,2,Yes
13,0.39,3,1,4,Off,0.380195599022005,2,Yes
14,0.39,3,1,4,Off,0.366748166259169,2,Yes
15,0.39,3,1,4,Off,0.43520782396088,2,Yes
1,0.39,3,2,1,On,0.482093663911846,2,Yes
2,0.39,3,2,1,On,0.597796143250689,2,Yes
3,0.39,3,2,1,On,0.417355371900826,2,Yes
4,0.39,3,2,1,On,0.253443526170799,2,Yes
5,0.39,3,2,1,On,0.607438016528926,2,Yes
6,0.39,3,2,1,On,0.482093663911846,2,Yes
7,0.39,3,2,1,On,0.728650137741047,2,Yes
8,0.39,3,2,1,On,0.622589531680441,2,Yes
9,0.39,3,2,1,On,0.0826446280991736,2,Yes
10,0.39,3,2,1,On,0.462809917355372,2,Yes
11,0.39,3,2,1,On,0.669421487603306,2,Yes
12,0.39,3,2,1,On,0.380165289256198,2,Yes
13,0.39,3,2,1,On,0.680440771349862,2,Yes
14,0.39,3,2,1,On,0.607438016528926,2,Yes
15,0.39,3,2,1,On,0.0922865013774105,2,Yes
1,0.39,3,2,1,Off,0.544378698224852,2,Yes
2,0.39,3,2,1,Off,0.462721893491124,2,Yes
3,0.39,3,2,1,Off,0.568047337278107,2,Yes
4,0.39,3,2,1,Off,0.37396449704142,2,Yes
5,0.39,3,2,1,Off,0.589349112426035,2,Yes
6,0.39,3,2,1,Off,0.518343195266272,2,Yes
7,0.39,3,2,1,Off,0.513609467455621,2,Yes
8,0.39,3,2,1,Off,0.52189349112426,2,Yes
9,0.39,3,2,1,Off,0.437869822485207,2,Yes
10,0.39,3,2,1,Off,0.453254437869823,2,Yes
11,0.39,3,2,1,Off,0.476923076923077,2,Yes
12,0.39,3,2,1,Off,0.530177514792899,2,Yes
13,0.39,3,2,1,Off,0.453254437869823,2,Yes
14,0.39,3,2,1,Off,0.409467455621302,2,Yes
15,0.39,3,2,1,Off,0.330177514792899,2,Yes
1,0.39,3,2,2,On,0.0112044817927171,2,Yes
2,0.39,3,2,2,On,0.450980392156863,2,Yes
3,0.39,3,2,2,On,0.310924369747899,2,Yes
4,0.39,3,2,2,On,0.0,2,Yes
5,0.39,3,2,2,On,0.570028011204482,2,Yes
6,0.39,3,2,2,On,0.312324929971989,2,Yes
7,0.39,3,2,2,On,0.432773109243697,2,Yes
8,0.39,3,2,2,On,0.518207282913165,2,Yes
9,0.39,3,2,2,On,0.873949579831933,2,Yes
10,0.39,3,2,2,On,0.42296918767507,2,Yes
11,0.39,3,2,2,On,0.420168067226891,2,Yes
12,0.39,3,2,2,On,0.149859943977591,2,Yes
13,0.39,3,2,2,On,0.631652661064426,2,Yes
14,0.39,3,2,2,On,0.184873949579832,2,Yes
15,0.39,3,2,2,On,0.0168067226890756,2,Yes
1,0.39,3,2,2,Off,0.44390243902439,2,Yes
2,0.39,3,2,2,Off,0.485365853658537,2,Yes
3,0.39,3,2,2,Off,0.420731707317073,2,Yes
4,0.39,3,2,2,Off,0.45,2,Yes
5,0.39,3,2,2,Off,0.545121951219512,2,Yes
6,0.39,3,2,2,Off,0.542682926829268,2,Yes
7,0.39,3,2,2,Off,0.489024390243902,2,Yes
8,0.39,3,2,2,Off,0.517073170731707,2,Yes
