Flynum,Concentration,Cohort,Week,Trial,Batch,Odor,Occupancy,Day,FlyIDConstant
1,0.39,5,1,1,1,On,0.479310344827586,2,Yes
2,0.39,5,1,1,1,On,0.431034482758621,2,Yes
3,0.39,5,1,1,1,On,0.55948275862069,2,Yes
4,0.39,5,1,1,1,On,0.432758620689655,2,Yes
5,0.39,5,1,1,1,On,0.591379310344828,2,Yes
6,0.39,5,1,1,1,On,0.506034482758621,2,Yes
7,0.39,5,1,1,1,On,0.551724137931034,2,Yes
8,0.39,5,1,1,1,On,0.475862068965517,2,Yes
9,0.39,5,1,1,1,On,0.785344827586207,2,Yes
10,0.39,5,1,1,1,On,0.468103448275862,2,Yes
11,0.39,5,1,1,1,On,0.437931034482759,2,Yes
12,0.39,5,1,1,1,On,0.217241379310345,2,Yes
13,0.39,5,1,1,1,On,0.552586206896552,2,Yes
14,0.39,5,1,1,1,On,0.125862068965517,2,Yes
15,0.39,5,1,1,1,On,0.205172413793103,2,Yes
1,0.39,5,1,1,1,Off,0.43,2,Yes
2,0.39,5,1,1,1,Off,0.557692307692308,2,Yes
3,0.39,5,1,1,1,Off,0.475384615384615,2,Yes
4,0.39,5,1,1,1,Off,0.479230769230769,2,Yes
5,0.39,5,1,1,1,Off,0.446153846153846,2,Yes
6,0.39,5,1,1,1,Off,0.47,2,Yes
7,0.39,5,1,1,1,Off,0.772307692307692,2,Yes
8,0.39,5,1,1,1,Off,0.542307692307692,2,Yes
9,0.39,5,1,1,1,Off,0.423846153846154,2,Yes
10,0.39,5,1,1,1,Off,0.47,2,Yes
11,0.39,5,1,1,1,Off,0.503076923076923,2,Yes
12,0.39,5,1,1,1,Off,0.524615384615385,2,Yes
13,0.39,5,1,1,1,Off,0.574615384615385,2,Yes
14,0.39,5,1,1,1,Off,0.413846153846154,2,Yes
15,0.39,5,1,1,1,Off,0.563076923076923,2,Yes
1,0.39,5,1,1,2,On,0.771914893617021,2,Yes
2,0.39,5,1,1,2,On,0.59063829787234,2,Yes
3,0.39,5,1,1,2,On,0.346382978723404,2,Yes
4,0.39,5,1,1,2,On,0.195744680851064,2,Yes
5,0.39,5,1,1,2,On,0.748085106382979,2,Yes
6,0.39,5,1,1,2,On,0.961702127659574,2,Yes
7,0.39,5,1,1,2,On,0.51063829787234,2,Yes
8,0.39,5,1,1,2,On,0.708936170212766,2,Yes
9,0.39,5,1,1,2,On,1.0,2,Yes
10,0.39,5,1,1,2,On,0.507234042553191,2,Yes
11,0.39,5,1,1,2,On,0.643404255319149,2,Yes
12,0.39,5,1,1,2,On,0.692765957446808,2,Yes
13,0.39,5,1,1,2,On,0.578723404255319,2,Yes
14,0.39,5,1,1,2,On,0.858723404255319,2,Yes
15,0.39,5,1,1,2,On,0.942978723404255,2,Yes
1,0.39,5,1,1,2,Off,0.573919636087945,2,Yes
2,0.39,5,1,1,2,Off,0.468536770280516,2,Yes
3,0.39,5,1,1,2,Off,0.389689158453374,2,Yes
4,0.39,5,1,1,2,Off,0.56937073540561,2,Yes
5,0.39,5,1,1,2,Off,0.429112964366945,2,Yes
6,0.39,5,1,1,2,Off,0.592873388931008,2,Yes
7,0.39,5,1,1,2,Off,0.584533737680061,2,Yes
8,0.39,5,1,1,2,Off,0.44882486732373,2,Yes
9,0.39,5,1,1,2,Off,0.399545109931767,2,Yes
10,0.39,5,1,1,2,Off,0.483699772554966,2,Yes
11,0.39,5,1,1,2,Off,0.458680818802123,2,Yes
12,0.39,5,1,1,2,Off,0.629264594389689,2,Yes
13,0.39,5,1,1,2,Off,0.54510993176649,2,Yes
14,0.39,5,1,1,2,Off,0.251705837755876,2,Yes
15,0.39,5,1,1,2,Off,0.435178165276725,2,Yes
1,0.39,5,1,1,3,On,0.654054054054054,2,Yes
2,0.39,5,1,1,3,On,0.669369369369369,2,Yes
3,0.39,5,1,1,3,On,0.622522522522522,2,Yes
4,0.39,5,1,1,3,On,0.472972972972973,2,Yes
5,0.39,5,1,1,3,On,0.555855855855856,2,Yes
6,0.39,5,1,1,3,On,0.630630630630631,2,Yes
7,0.39,5,1,1,3,On,0.605405405405405,2,Yes
8,0.39,5,1,1,3,On,0.465765765765766,2,Yes
9,0.39,5,1,1,3,On,0.471171171171171,2,Yes
10,0.39,5,1,1,3,On,0.562162162162162,2,Yes
11,0.39,5,1,1,3,On,0.356756756756757,2,Yes
12,0.39,5,1,1,3,On,0.37027027027027,2,Yes
13,0.39,5,1,1,3,On,0.665765765765766,2,Yes
14,0.39,5,1,1,3,On,0.455855855855856,2,Yes
15,0.39,5,1,1,3,On,0.545045045045045,2,Yes
1,0.39,5,1,1,3,Off,0.487388724035608,2,Yes
2,0.39,5,1,1,3,Off,0.433234421364985,2,Yes
3,0.39,5,1,1,3,Off,0.442878338278932,2,Yes
4,0.39,5,1,1,3,Off,0.191394658753709,2,Yes
5,0.39,5,1,1,3,Off,0.374629080118694,2,Yes
6,0.39,5,1,1,3,Off,0.45919881305638,2,Yes
7,0.39,5,1,1,3,Off,0.439169139465875,2,Yes
8,0.39,5,1,1,3,Off,0.498516320474777,2,Yes
9,0.39,5,1,1,3,Off,0.356824925816024,2,Yes
10,0.39,5,1,1,3,Off,0.579376854599407,2,Yes
11,0.39,5,1,1,3,Off,0.491097922848665,2,Yes
12,0.39,5,1,1,3,Off,0.560089020771513,2,Yes
13,0.39,5,1,1,3,Off,0.479970326409496,2,Yes
14,0.39,5,1,1,3,Off,0.481454005934718,2,Yes
15,0.39,5,1,1,3,Off,0.336795252225519,2,Yes
1,0.39,5,1,1,4,On,0.371551724137931,2,Yes
2,0.39,5,1,1,4,On,0.562931034482759,2,Yes
3,0.39,5,1,1,4,On,0.425,2,Yes
4,0.39,5,1,1,4,On,0.157758620689655,2,Yes
5,0.39,5,1,1,4,On,0.499137931034483,2,Yes
6,0.39,5,1,1,4,On,0.489655172413793,2,Yes
7,0.39,5,1,1,4,On,0.550862068965517,2,Yes
8,0.39,5,1,1,4,On,0.495689655172414,2,Yes
9,0.39,5,1,1,4,On,0.568103448275862,2,Yes
10,0.39,5,1,1,4,On,0.491379310344828,2,Yes
11,0.39,5,1,1,4,On,0.175,2,Yes
12,0.39,5,1,1,4,On,0.225862068965517,2,Yes
13,0.39,5,1,1,4,On,0.58448275862069,2,Yes
14,0.39,5,1,1,4,On,0.768965517241379,2,Yes
15,0.39,5,1,1,4,On,0.453448275862069,2,Yes
1,0.39,5,1,1,4,Off,0.0359327217125382,2,Yes
2,0.39,5,1,1,4,Off,0.483180428134557,2,Yes
3,0.39,5,1,1,4,Off,0.46177370030581,2,Yes
4,0.39,5,1,1,4,Off,0.525229357798165,2,Yes
5,0.39,5,1,1,4,Off,0.52217125382263,2,Yes
6,0.39,5,1,1,4,Off,0.481651376146789,2,Yes
7,0.39,5,1,1,4,Off,0.526758409785933,2,Yes
8,0.39,5,1,1,4,Off,0.512996941896025,2,Yes
9,0.39,5,1,1,4,Off,0.366207951070336,2,Yes
10,0.39,5,1,1,4,Off,0.5282874617737,2,Yes
11,0.39,5,1,1,4,Off,0.217125382262997,2,Yes
12,0.39,5,1,1,4,Off,0.335626911314985,2,Yes
13,0.39,5,1,1,4,Off,0.600917431192661,2,Yes
14,0.39,5,1,1,4,Off,0.608562691131499,2,Yes
15,0.39,5,1,1,4,Off,0.504587155963303,2,Yes
1,0.39,5,1,2,1,On,0.43521000893655,2,Yes
2,0.39,5,1,2,1,On,0.375335120643432,2,Yes
3,0.39,5,1,2,1,On,0.532618409294012,2,Yes
4,0.39,5,1,2,1,On,0.5218945487042,2,Yes
5,0.39,5,1,2,1,On,0.605898123324397,2,Yes
6,0.39,5,1,2,1,On,0.498659517426273,2,Yes
7,0.39,5,1,2,1,On,0.369079535299374,2,Yes
8,0.39,5,1,2,1,On,0.428060768543342,2,Yes
9,0.39,5,1,2,1,On,0.737265415549598,2,Yes
10,0.39,5,1,2,1,On,0.424486148346738,2,Yes
11,0.39,5,1,2,1,On,0.502234137622878,2,Yes
12,0.39,5,1,2,1,On,0.579088471849866,2,Yes
13,0.39,5,1,2,1,On,0.644325290437891,2,Yes
14,0.39,5,1,2,1,On,0.298480786416443,2,Yes
15,0.39,5,1,2,1,On,0.187667560321716,2,Yes
1,0.39,5,1,2,1,Off,0.531947652040031,2,Yes
2,0.39,5,1,2,1,Off,0.573518090839107,2,Yes
3,0.39,5,1,2,1,Off,0.58044649730562,2,Yes
4,0.39,5,1,2,1,Off,0.976905311778291,2,Yes
5,0.39,5,1,2,1,Off,0.454195535026944,2,Yes
6,0.39,5,1,2,1,Off,0.485758275596613,2,Yes
7,0.39,5,1,2,1,Off,0.565050038491147,2,Yes
8,0.39,5,1,2,1,Off,0.42802155504234,2,Yes
9,0.39,5,1,2,1,Off,0.414164742109315,2,Yes
