Flynum,Concentration,Cohort,Trial,Batch,Odor,Occupancy,Day,FlyIDConstant
1,0.39,2,1,1,On,0.844566712517194,1,Yes
2,0.39,2,1,1,On,0.836313617606602,1,Yes
3,0.39,2,1,1,On,0.463548830811554,1,Yes
4,0.39,2,1,1,On,0.486932599724897,1,Yes
5,0.39,2,1,1,On,0.696011004126547,1,Yes
6,0.39,2,1,1,On,0.808803301237964,1,Yes
7,0.39,2,1,1,On,0.987620357634113,1,Yes
8,0.39,2,1,1,On,0.360385144429161,1,Yes
9,0.39,2,1,1,On,0.709766162310867,1,Yes
10,0.39,2,1,1,On,0.613480055020633,1,Yes
11,0.39,2,1,1,On,0.87757909215956,1,Yes
12,0.39,2,1,1,On,0.647867950481431,1,Yes
13,0.39,2,1,1,On,0.839064649243466,1,Yes
14,0.39,2,1,1,On,0.744154057771664,1,Yes
15,0.39,2,1,1,On,0.665749656121045,1,Yes
1,0.39,2,1,1,Off,0.452961672473868,1,Yes
2,0.39,2,1,1,Off,0.665505226480836,1,Yes
3,0.39,2,1,1,Off,0.531939605110337,1,Yes
4,0.39,2,1,1,Off,0.32520325203252,1,Yes
5,0.39,2,1,1,Off,0.492450638792102,1,Yes
6,0.39,2,1,1,Off,0.560975609756098,1,Yes
7,0.39,2,1,1,Off,0.740998838559814,1,Yes
8,0.39,2,1,1,Off,0.313588850174216,1,Yes
9,0.39,2,1,1,Off,0.149825783972125,1,Yes
10,0.39,2,1,1,Off,0.707317073170732,1,Yes
11,0.39,2,1,1,Off,0.430894308943089,1,Yes
12,0.39,2,1,1,Off,0.531939605110337,1,Yes
13,0.39,2,1,1,Off,0.542392566782811,1,Yes
14,0.39,2,1,1,Off,0.551684088269454,1,Yes
15,0.39,2,1,1,Off,0.508710801393728,1,Yes
1,0.39,2,1,2,On,0.353174603174603,1,Yes
2,0.39,2,1,2,On,0.605820105820106,1,Yes
3,0.39,2,1,2,On,0.527777777777778,1,Yes
4,0.39,2,1,2,On,0.80026455026455,1,Yes
5,0.39,2,1,2,On,0.580687830687831,1,Yes
6,0.39,2,1,2,On,0.742063492063492,1,Yes
7,0.39,2,1,2,On,0.732804232804233,1,Yes
8,0.39,2,1,2,On,0.760582010582011,1,Yes
9,0.39,2,1,2,On,0.617724867724868,1,Yes
10,0.39,2,1,2,On,0.518518518518518,1,Yes
11,0.39,2,1,2,On,0.0357142857142857,1,Yes
12,0.39,2,1,2,On,0.527777777777778,1,Yes
13,0.39,2,1,2,On,0.691798941798942,1,Yes
14,0.39,2,1,2,On,0.435185185185185,1,Yes
15,0.39,2,1,2,On,0.657407407407407,1,Yes
1,0.39,2,1,2,Off,0.488452655889145,1,Yes
2,0.39,2,1,2,Off,0.561200923787529,1,Yes
3,0.39,2,1,2,Off,0.735565819861432,1,Yes
4,0.39,2,1,2,Off,0.541570438799076,1,Yes
5,0.39,2,1,2,Off,0.408775981524249,1,Yes
6,0.39,2,1,2,Off,0.460739030023095,1,Yes
7,0.39,2,1,2,Off,0.703233256351039,1,Yes
8,0.39,2,1,2,Off,0.613163972286374,1,Yes
9,0.39,2,1,2,Off,0.448036951501155,1,Yes
10,0.39,2,1,2,Off,0.633949191685912,1,Yes
11,0.39,2,1,2,Off,0.177829099307159,1,Yes
12,0.39,2,1,2,Off,0.639722863741339,1,Yes
13,0.39,2,1,2,Off,0.518475750577367,1,Yes
14,0.39,2,1,2,Off,0.610854503464203,1,Yes
15,0.39,2,1,2,Off,0.399538106235566,1,Yes
1,0.39,2,1,3,On,0.506666666666667,1,Yes
2,0.39,2,1,3,On,0.577333333333333,1,Yes
3,0.39,2,1,3,On,0.513333333333333,1,Yes
4,0.39,2,1,3,On,0.0026666666666666,1,Yes
5,0.39,2,1,3,On,0.556,1,Yes
6,0.39,2,1,3,On,0.410666666666667,1,Yes
7,0.39,2,1,3,On,0.56,1,Yes
8,0.39,2,1,3,On,0.728,1,Yes
9,0.39,2,1,3,On,0.76,1,Yes
10,0.39,2,1,3,On,0.478666666666667,1,Yes
11,0.39,2,1,3,On,1.0,1,Yes
12,0.39,2,1,3,On,0.265333333333333,1,Yes
13,0.39,2,1,3,On,0.693333333333333,1,Yes
14,0.39,2,1,3,On,0.58,1,Yes
15,0.39,2,1,3,On,0.569333333333333,1,Yes
1,0.39,2,1,3,Off,0.434210526315789,1,Yes
2,0.39,2,1,3,Off,0.671052631578947,1,Yes
3,0.39,2,1,3,Off,0.539473684210526,1,Yes
4,0.39,2,1,3,Off,0.407894736842105,1,Yes
5,0.39,2,1,3,Off,0.460526315789474,1,Yes
6,0.39,2,1,3,Off,0.401913875598086,1,Yes
7,0.39,2,1,3,Off,0.434210526315789,1,Yes
8,0.39,2,1,3,Off,0.602870813397129,1,Yes
9,0.39,2,1,3,Off,0.574162679425837,1,Yes
10,0.39,2,1,3,Off,0.47488038277512,1,Yes
11,0.39,2,1,3,Off,0.730861244019139,1,Yes
12,0.39,2,1,3,Off,0.477272727272727,1,Yes
13,0.39,2,1,3,Off,0.617224880382775,1,Yes
14,0.39,2,1,3,Off,0.480861244019139,1,Yes
