Flynum,Concentration,Cohort,Trial,Batch,Odor,Occupancy,Day,FlyIDConstant
1,0.39,4,1,1,On,0.588235294117647,1,Yes
2,0.39,4,1,1,On,0.608288770053476,1,Yes
3,0.39,4,1,1,On,0.201871657754011,1,Yes
4,0.39,4,1,1,On,0.411764705882353,1,Yes
5,0.39,4,1,1,On,0.0080213903743315,1,Yes
6,0.39,4,1,1,On,0.663101604278075,1,Yes
7,0.39,4,1,1,On,0.61096256684492,1,Yes
8,0.39,4,1,1,On,0.521390374331551,1,Yes
9,0.39,4,1,1,On,0.144385026737968,1,Yes
10,0.39,4,1,1,On,0.479946524064171,1,Yes
11,0.39,4,1,1,On,0.629679144385027,1,Yes
12,0.39,4,1,1,On,0.403743315508021,1,Yes
13,0.39,4,1,1,On,0.205882352941176,1,Yes
14,0.39,4,1,1,On,0.63903743315508,1,Yes
15,0.39,4,1,1,On,0.50668449197861,1,Yes
1,0.39,4,1,1,Off,0.469483568075117,1,Yes
2,0.39,4,1,1,Off,0.332159624413146,1,Yes
3,0.39,4,1,1,Off,0.52112676056338,1,Yes
4,0.39,4,1,1,Off,0.484741784037559,1,Yes
5,0.39,4,1,1,Off,0.357981220657277,1,Yes
6,0.39,4,1,1,Off,0.436619718309859,1,Yes
7,0.39,4,1,1,Off,0.515258215962441,1,Yes
8,0.39,4,1,1,Off,0.504694835680751,1,Yes
9,0.39,4,1,1,Off,0.530516431924883,1,Yes
10,0.39,4,1,1,Off,0.471830985915493,1,Yes
11,0.39,4,1,1,Off,0.684272300469484,1,Yes
12,0.39,4,1,1,Off,0.524647887323944,1,Yes
13,0.39,4,1,1,Off,0.321596244131455,1,Yes
14,0.39,4,1,1,Off,0.390845070422535,1,Yes
15,0.39,4,1,1,Off,0.568075117370892,1,Yes
1,0.39,4,1,2,On,0.007183908045977,1,Yes
2,0.39,4,1,2,On,0.127873563218391,1,Yes
3,0.39,4,1,2,On,0.396551724137931,1,Yes
4,0.39,4,1,2,On,0.512931034482759,1,Yes
5,0.39,4,1,2,On,0.0,1,Yes
6,0.39,4,1,2,On,0.423850574712644,1,Yes
7,0.39,4,1,2,On,0.531609195402299,1,Yes
8,0.39,4,1,2,On,0.521551724137931,1,Yes
9,0.39,4,1,2,On,0.271551724137931,1,Yes
10,0.39,4,1,2,On,0.435344827586207,1,Yes
11,0.39,4,1,2,On,0.557471264367816,1,Yes
12,0.39,4,1,2,On,0.390804597701149,1,Yes
13,0.39,4,1,2,On,0.42816091954023,1,Yes
14,0.39,4,1,2,On,0.206896551724138,1,Yes
15,0.39,4,1,2,On,0.130747126436782,1,Yes
1,0.39,4,1,2,Off,0.38,1,Yes
2,0.39,4,1,2,Off,0.358823529411765,1,Yes
3,0.39,4,1,2,Off,0.6,1,Yes
4,0.39,4,1,2,Off,0.536470588235294,1,Yes
5,0.39,4,1,2,Off,0.248235294117647,1,Yes
6,0.39,4,1,2,Off,0.502352941176471,1,Yes
7,0.39,4,1,2,Off,0.552941176470588,1,Yes
8,0.39,4,1,2,Off,0.543529411764706,1,Yes
9,0.39,4,1,2,Off,0.348235294117647,1,Yes
10,0.39,4,1,2,Off,0.636470588235294,1,Yes
11,0.39,4,1,2,Off,0.467058823529412,1,Yes
12,0.39,4,1,2,Off,0.497647058823529,1,Yes
13,0.39,4,1,2,Off,0.338823529411765,1,Yes
14,0.39,4,1,2,Off,0.470588235294118,1,Yes
15,0.39,4,1,2,Off,0.522352941176471,1,Yes
1,0.39,4,1,3,On,0.480536912751678,1,Yes
2,0.39,4,1,3,On,0.464429530201342,1,Yes
3,0.39,4,1,3,On,0.432214765100671,1,Yes
4,0.39,4,1,3,On,0.426845637583893,1,Yes
5,0.39,4,1,3,On,0.506040268456376,1,Yes
6,0.39,4,1,3,On,0.342281879194631,1,Yes
7,0.39,4,1,3,On,0.335570469798658,1,Yes
8,0.39,4,1,3,On,0.485906040268456,1,Yes
9,0.39,4,1,3,On,0.135570469798658,1,Yes
10,0.39,4,1,3,On,0.563758389261745,1,Yes
11,0.39,4,1,3,On,0.573154362416107,1,Yes
12,0.39,4,1,3,On,0.45503355704698,1,Yes
13,0.39,4,1,3,On,0.0,1,Yes
14,0.39,4,1,3,On,0.206711409395973,1,Yes
15,0.39,4,1,3,On,0.220134228187919,1,Yes
1,0.39,4,1,3,Off,0.492361927144536,1,Yes
2,0.39,4,1,3,Off,0.448883666274971,1,Yes
3,0.39,4,1,3,Off,0.498237367802585,1,Yes
4,0.39,4,1,3,Off,0.343125734430082,1,Yes
5,0.39,4,1,3,Off,0.527614571092832,1,Yes
6,0.39,4,1,3,Off,0.438307873090482,1,Yes
7,0.39,4,1,3,Off,0.486486486486487,1,Yes
8,0.39,4,1,3,Off,0.446533490011751,1,Yes
9,0.39,4,1,3,Off,0.565217391304348,1,Yes
10,0.39,4,1,3,Off,0.609870740305523,1,Yes
11,0.39,4,1,3,Off,0.527614571092832,1,Yes
12,0.39,4,1,3,Off,0.519388954171563,1,Yes
13,0.39,4,1,3,Off,0.419506462984724,1,Yes
