Flynum,Concentration,Cohort,Week,Trial,Batch,Odor,Occupancy,Day,FlyIDConstant
1,0.39,5,1,1,1,On,0.398496240601504,1,Yes
2,0.39,5,1,1,1,On,0.481203007518797,1,Yes
3,0.39,5,1,1,1,On,0.545112781954887,1,Yes
4,0.39,5,1,1,1,On,0.228070175438596,1,Yes
5,0.39,5,1,1,1,On,0.667919799498747,1,Yes
6,0.39,5,1,1,1,On,0.406015037593985,1,Yes
7,0.39,5,1,1,1,On,0.741854636591479,1,Yes
8,0.39,5,1,1,1,On,0.457393483709273,1,Yes
9,0.39,5,1,1,1,On,0.800751879699248,1,Yes
10,0.39,5,1,1,1,On,0.583959899749373,1,Yes
11,0.39,5,1,1,1,On,0.677944862155389,1,Yes
12,0.39,5,1,1,1,On,0.426065162907268,1,Yes
13,0.39,5,1,1,1,On,0.641604010025063,1,Yes
14,0.39,5,1,1,1,On,0.365914786967419,1,Yes
15,0.39,5,1,1,1,On,0.0463659147869674,1,Yes
1,0.39,5,1,1,1,Off,0.545251396648045,1,Yes
2,0.39,5,1,1,1,Off,0.397765363128492,1,Yes
3,0.39,5,1,1,1,Off,0.587709497206704,1,Yes
4,0.39,5,1,1,1,Off,0.486033519553073,1,Yes
5,0.39,5,1,1,1,Off,0.375418994413408,1,Yes
6,0.39,5,1,1,1,Off,0.66927374301676,1,Yes
7,0.39,5,1,1,1,Off,0.562011173184358,1,Yes
8,0.39,5,1,1,1,Off,0.452513966480447,1,Yes
9,0.39,5,1,1,1,Off,0.431284916201117,1,Yes
10,0.39,5,1,1,1,Off,0.583240223463687,1,Yes
11,0.39,5,1,1,1,Off,0.55195530726257,1,Yes
12,0.39,5,1,1,1,Off,0.41340782122905,1,Yes
13,0.39,5,1,1,1,Off,0.216759776536313,1,Yes
14,0.39,5,1,1,1,Off,0.422346368715084,1,Yes
15,0.39,5,1,1,1,Off,0.235754189944134,1,Yes
1,0.39,5,1,1,2,On,0.565529622980251,1,Yes
2,0.39,5,1,1,2,On,0.587073608617594,1,Yes
3,0.39,5,1,1,2,On,0.444344703770197,1,Yes
4,0.39,5,1,1,2,On,0.0610412926391382,1,Yes
5,0.39,5,1,1,2,On,0.655296229802513,1,Yes
6,0.39,5,1,1,2,On,0.229802513464991,1,Yes
7,0.39,5,1,1,2,On,0.192998204667864,1,Yes
8,0.39,5,1,1,2,On,0.149012567324955,1,Yes
9,0.39,5,1,1,2,On,0.521543985637343,1,Yes
10,0.39,5,1,1,2,On,0.463195691202873,1,Yes
11,0.39,5,1,1,2,On,0.62657091561939,1,Yes
12,0.39,5,1,1,2,On,0.601436265709156,1,Yes
13,0.39,5,1,1,2,On,0.50359066427289,1,Yes
14,0.39,5,1,1,2,On,0.486535008976661,1,Yes
15,0.39,5,1,1,2,On,0.326750448833034,1,Yes
1,0.39,5,1,1,2,Off,0.339563862928349,1,Yes
2,0.39,5,1,1,2,Off,0.478971962616822,1,Yes
3,0.39,5,1,1,2,Off,0.469626168224299,1,Yes
4,0.39,5,1,1,2,Off,0.406542056074766,1,Yes
5,0.39,5,1,1,2,Off,0.497663551401869,1,Yes
6,0.39,5,1,1,2,Off,0.338006230529595,1,Yes
7,0.39,5,1,1,2,Off,0.308411214953271,1,Yes
8,0.39,5,1,1,2,Off,0.154205607476636,1,Yes
9,0.39,5,1,1,2,Off,0.47196261682243,1,Yes
10,0.39,5,1,1,2,Off,0.807632398753894,1,Yes
11,0.39,5,1,1,2,Off,0.519470404984424,1,Yes
12,0.39,5,1,1,2,Off,0.324766355140187,1,Yes
13,0.39,5,1,1,2,Off,0.524143302180685,1,Yes
14,0.39,5,1,1,2,Off,0.299844236760125,1,Yes
15,0.39,5,1,1,2,Off,0.56386292834891,1,Yes
1,0.39,5,1,1,3,On,0.55858310626703,1,Yes
2,0.39,5,1,1,3,On,0.606721162579473,1,Yes
3,0.39,5,1,1,3,On,0.653950953678474,1,Yes
4,0.39,5,1,1,3,On,0.316076294277929,1,Yes
5,0.39,5,1,1,3,On,0.419618528610354,1,Yes
6,0.39,5,1,1,3,On,0.461398728428701,1,Yes
7,0.39,5,1,1,3,On,0.563124432334242,1,Yes
8,0.39,5,1,1,3,On,0.506811989100817,1,Yes
9,0.39,5,1,1,3,On,0.512261580381471,1,Yes
10,0.39,5,1,1,3,On,0.458673932788374,1,Yes
11,0.39,5,1,1,3,On,0.457765667574932,1,Yes
12,0.39,5,1,1,3,On,0.159854677565849,1,Yes
13,0.39,5,1,1,3,On,0.62125340599455,1,Yes
14,0.39,5,1,1,3,On,0.364214350590372,1,Yes
15,0.39,5,1,1,3,On,0.553133514986376,1,Yes
1,0.39,5,1,1,3,Off,0.419147224456959,1,Yes
2,0.39,5,1,1,3,Off,0.31456154465004,1,Yes
3,0.39,5,1,1,3,Off,0.386967015285599,1,Yes
4,0.39,5,1,1,3,Off,0.456958970233307,1,Yes
5,0.39,5,1,1,3,Off,0.51810136765889,1,Yes
6,0.39,5,1,1,3,Off,0.181013676588898,1,Yes
7,0.39,5,1,1,3,Off,0.439259855189059,1,Yes
8,0.39,5,1,1,3,Off,0.531777956556718,1,Yes
9,0.39,5,1,1,3,Off,0.552695092518101,1,Yes
10,0.39,5,1,1,3,Off,0.50201126307321,1,Yes
11,0.39,5,1,1,3,Off,0.432823813354787,1,Yes
12,0.39,5,1,1,3,Off,0.760257441673371,1,Yes
13,0.39,5,1,1,3,Off,0.381335478680611,1,Yes
14,0.39,5,1,1,3,Off,0.333065164923572,1,Yes
15,0.39,5,1,1,3,Off,0.209975864843121,1,Yes
1,0.39,5,1,1,4,On,0.570255474452555,1,Yes
2,0.39,5,1,1,4,On,0.699817518248175,1,Yes
3,0.39,5,1,1,4,On,0.552007299270073,1,Yes
4,0.39,5,1,1,4,On,0.574817518248175,1,Yes
5,0.39,5,1,1,4,On,0.349452554744526,1,Yes
6,0.39,5,1,1,4,On,0.447992700729927,1,Yes
7,0.39,5,1,1,4,On,0.576642335766423,1,Yes
8,0.39,5,1,1,4,On,0.523722627737226,1,Yes
9,0.39,5,1,1,4,On,0.201642335766423,1,Yes
10,0.39,5,1,1,4,On,0.566605839416058,1,Yes
11,0.39,5,1,1,4,On,0.295620437956204,1,Yes
12,0.39,5,1,1,4,On,0.396897810218978,1,Yes
13,0.39,5,1,1,4,On,0.671532846715328,1,Yes
14,0.39,5,1,1,4,On,0.614051094890511,1,Yes
15,0.39,5,1,1,4,On,0.318430656934307,1,Yes
1,0.39,5,1,1,4,Off,0.388535031847134,1,Yes
2,0.39,5,1,1,4,Off,0.454617834394904,1,Yes
3,0.39,5,1,1,4,Off,0.550955414012739,1,Yes
4,0.39,5,1,1,4,Off,0.489649681528662,1,Yes
5,0.39,5,1,1,4,Off,0.380573248407643,1,Yes
6,0.39,5,1,1,4,Off,0.519108280254777,1,Yes
7,0.39,5,1,1,4,Off,0.356687898089172,1,Yes
8,0.39,5,1,1,4,Off,0.469745222929936,1,Yes
9,0.39,5,1,1,4,Off,0.511942675159236,1,Yes
10,0.39,5,1,1,4,Off,0.671974522292994,1,Yes
11,0.39,5,1,1,4,Off,0.457006369426752,1,Yes
12,0.39,5,1,1,4,Off,0.402866242038217,1,Yes
13,0.39,5,1,1,4,Off,0.439490445859873,1,Yes
14,0.39,5,1,1,4,Off,0.368630573248408,1,Yes
15,0.39,5,1,1,4,Off,0.460191082802548,1,Yes
1,0.39,5,1,2,1,On,0.595614035087719,1,Yes
2,0.39,5,1,2,1,On,0.623684210526316,1,Yes
3,0.39,5,1,2,1,On,0.526315789473684,1,Yes
4,0.39,5,1,2,1,On,0.839473684210526,1,Yes
5,0.39,5,1,2,1,On,0.524561403508772,1,Yes
6,0.39,5,1,2,1,On,0.484210526315789,1,Yes
7,0.39,5,1,2,1,On,0.531578947368421,1,Yes
8,0.39,5,1,2,1,On,0.599122807017544,1,Yes
9,0.39,5,1,2,1,On,0.634210526315789,1,Yes
10,0.39,5,1,2,1,On,0.597368421052632,1,Yes
11,0.39,5,1,2,1,On,0.543859649122807,1,Yes
12,0.39,5,1,2,1,On,0.813157894736842,1,Yes
13,0.39,5,1,2,1,On,0.819298245614035,1,Yes
14,0.39,5,1,2,1,On,0.771929824561403,1,Yes
15,0.39,5,1,2,1,On,0.428070175438596,1,Yes
1,0.39,5,1,2,1,Off,0.419893697798026,1,Yes
2,0.39,5,1,2,1,Off,0.498861047835991,1,Yes
3,0.39,5,1,2,1,Off,0.511009870918755,1,Yes
4,0.39,5,1,2,1,Off,0.452543659832954,1,Yes
5,0.39,5,1,2,1,Off,0.531511009870919,1,Yes
6,0.39,5,1,2,1,Off,0.735763097949886,1,Yes
7,0.39,5,1,2,1,Off,0.560364464692483,1,Yes
8,0.39,5,1,2,1,Off,0.453302961275626,1,Yes
9,0.39,5,1,2,1,Off,0.552012148823083,1,Yes
10,0.39,5,1,2,1,Off,0.525436598329537,1,Yes
11,0.39,5,1,2,1,Off,0.574031890660592,1,Yes
12,0.39,5,1,2,1,Off,0.503416856492027,1,Yes
13,0.39,5,1,2,1,Off,0.557327258921792,1,Yes
14,0.39,5,1,2,1,Off,0.567198177676538,1,Yes
15,0.39,5,1,2,1,Off,0.466970387243736,1,Yes
1,0.39,5,1,2,2,On,0.808978873239437,1,Yes
2,0.39,5,1,2,2,On,0.507922535211268,1,Yes
3,0.39,5,1,2,2,On,0.397007042253521,1,Yes
4,0.39,5,1,2,2,On,0.422535211267606,1,Yes
5,0.39,5,1,2,2,On,0.529929577464789,1,Yes
6,0.39,5,1,2,2,On,0.354753521126761,1,Yes
7,0.39,5,1,2,2,On,0.179577464788732,1,Yes
8,0.39,5,1,2,2,On,0.607394366197183,1,Yes
9,0.39,5,1,2,2,On,0.763204225352113,1,Yes
10,0.39,5,1,2,2,On,0.446302816901408,1,Yes
11,0.39,5,1,2,2,On,0.644366197183099,1,Yes
12,0.39,5,1,2,2,On,0.592429577464789,1,Yes
13,0.39,5,1,2,2,On,0.756161971830986,1,Yes
14,0.39,5,1,2,2,On,0.454225352112676,1,Yes
15,0.39,5,1,2,2,On,0.556338028169014,1,Yes
1,0.39,5,1,2,2,Off,0.463846153846154,1,Yes
2,0.39,5,1,2,2,Off,0.563076923076923,1,Yes
3,0.39,5,1,2,2,Off,0.569230769230769,1,Yes
4,0.39,5,1,2,2,Off,0.513846153846154,1,Yes
5,0.39,5,1,2,2,Off,0.381538461538462,1,Yes
6,0.39,5,1,2,2,Off,0.503846153846154,1,Yes
7,0.39,5,1,2,2,Off,0.614615384615385,1,Yes
8,0.39,5,1,2,2,Off,0.556923076923077,1,Yes
9,0.39,5,1,2,2,Off,0.510769230769231,1,Yes
10,0.39,5,1,2,2,Off,0.638461538461538,1,Yes
11,0.39,5,1,2,2,Off,0.466153846153846,1,Yes
12,0.39,5,1,2,2,Off,0.627692307692308,1,Yes
13,0.39,5,1,2,2,Off,0.560769230769231,1,Yes
14,0.39,5,1,2,2,Off,0.423076923076923,1,Yes
15,0.39,5,1,2,2,Off,0.448461538461538,1,Yes
1,0.39,5,1,2,3,On,0.596396396396396,1,Yes
2,0.39,5,1,2,3,On,0.645945945945946,1,Yes
3,0.39,5,1,2,3,On,0.578378378378378,1,Yes
4,0.39,5,1,2,3,On,0.469369369369369,1,Yes
5,0.39,5,1,2,3,On,0.590990990990991,1,Yes
6,0.39,5,1,2,3,On,0.706306306306306,1,Yes
7,0.39,5,1,2,3,On,0.571171171171171,1,Yes
8,0.39,5,1,2,3,On,0.62972972972973,1,Yes
9,0.39,5,1,2,3,On,0.563063063063063,1,Yes
10,0.39,5,1,2,3,On,0.471171171171171,1,Yes
11,0.39,5,1,2,3,On,0.578378378378378,1,Yes
12,0.39,5,1,2,3,On,0.402702702702703,1,Yes
13,0.39,5,1,2,3,On,0.538738738738739,1,Yes
14,0.39,5,1,2,3,On,0.54954954954955,1,Yes
15,0.39,5,1,2,3,On,0.396396396396396,1,Yes
1,0.39,5,1,2,3,Off,0.478639240506329,1,Yes
2,0.39,5,1,2,3,Off,0.503164556962025,1,Yes
3,0.39,5,1,2,3,Off,0.589398734177215,1,Yes
4,0.39,5,1,2,3,Off,0.455696202531646,1,Yes
