Flynum,Concentration,Cohort,Week,Trial,Batch,Odor,Occupancy,Day,FlyIDConstant
1,0.39,5,2,1,1,On,0.757180156657963,1,Yes
2,0.39,5,2,1,1,On,0.65361183637946,1,Yes
3,0.39,5,2,1,1,On,1.0,1,Yes
4,0.39,5,2,1,1,On,0.612706701479547,1,Yes
5,0.39,5,2,1,1,On,0.746736292428198,1,Yes
6,0.39,5,2,1,1,On,0.738903394255875,1,Yes
7,0.39,5,2,1,1,On,0.595300261096606,1,Yes
8,0.39,5,2,1,1,On,0.739773716275022,1,Yes
9,0.39,5,2,1,1,On,0.811140121845083,1,Yes
10,0.39,5,2,1,1,On,0.583986074847694,1,Yes
11,0.39,5,2,1,1,On,0.833768494342907,1,Yes
12,0.39,5,2,1,1,On,1.0,1,Yes
13,0.39,5,2,1,1,On,0.846823324630113,1,Yes
14,0.39,5,2,1,1,On,0.621409921671018,1,Yes
15,0.39,5,2,1,1,On,0.800696257615318,1,Yes
1,0.39,5,2,1,1,Off,0.582761250953471,1,Yes
2,0.39,5,2,1,1,Off,0.520213577421815,1,Yes
3,0.39,5,2,1,1,Off,0.698703279938978,1,Yes
4,0.39,5,2,1,1,Off,0.302059496567506,1,Yes
5,0.39,5,2,1,1,Off,0.602593440122044,1,Yes
6,0.39,5,2,1,1,Off,0.627765064836003,1,Yes
7,0.39,5,2,1,1,Off,0.186117467581998,1,Yes
8,0.39,5,2,1,1,Off,0.500381388253242,1,Yes
9,0.39,5,2,1,1,Off,0.572845156369184,1,Yes
10,0.39,5,2,1,1,Off,0.64836003051106,1,Yes
11,0.39,5,2,1,1,Off,0.350877192982456,1,Yes
12,0.39,5,2,1,1,Off,0.387490465293669,1,Yes
13,0.39,5,2,1,1,Off,0.318840579710145,1,Yes
14,0.39,5,2,1,1,Off,0.519450800915332,1,Yes
15,0.39,5,2,1,1,Off,0.147978642257818,1,Yes
1,0.39,5,2,1,2,On,0.563189143341815,1,Yes
2,0.39,5,2,1,2,On,0.568278201865988,1,Yes
3,0.39,5,2,1,2,On,0.708227311280746,1,Yes
4,0.39,5,2,1,2,On,0.591178965224767,1,Yes
5,0.39,5,2,1,2,On,0.52078032230704,1,Yes
6,0.39,5,2,1,2,On,0.901611535199321,1,Yes
7,0.39,5,2,1,2,On,0.441051738761662,1,Yes
8,0.39,5,2,1,2,On,0.199321458863444,1,Yes
9,0.39,5,2,1,2,On,0.870229007633588,1,Yes
10,0.39,5,2,1,2,On,0.626802374893978,1,Yes
11,0.39,5,2,1,2,On,0.581000848176421,1,Yes
