Flynum,Concentration,Cohort,Trial,Batch,Odor,Occupancy,Day,FlyIDConstant
1,0.39,4,1,1,On,0.739837398373984,2,Yes
2,0.39,4,1,1,On,0.604336043360434,2,Yes
3,0.39,4,1,1,On,0.287262872628726,2,Yes
4,0.39,4,1,1,On,0.651761517615176,2,Yes
5,0.39,4,1,1,On,0.0,2,Yes
6,0.39,4,1,1,On,0.558265582655827,2,Yes
7,0.39,4,1,1,On,0.627371273712737,2,Yes
8,0.39,4,1,1,On,0.642276422764228,2,Yes
9,0.39,4,1,1,On,0.470189701897019,2,Yes
10,0.39,4,1,1,On,0.514905149051491,2,Yes
11,0.39,4,1,1,On,0.692411924119241,2,Yes
12,0.39,4,1,1,On,0.150406504065041,2,Yes
13,0.39,4,1,1,On,0.116531165311653,2,Yes
14,0.39,4,1,1,On,0.506775067750677,2,Yes
15,0.39,4,1,1,On,0.654471544715447,2,Yes
1,0.39,4,1,1,Off,0.430288461538462,2,Yes
2,0.39,4,1,1,Off,0.5,2,Yes
3,0.39,4,1,1,Off,0.336538461538462,2,Yes
4,0.39,4,1,1,Off,0.516826923076923,2,Yes
5,0.39,4,1,1,Off,0.5625,2,Yes
6,0.39,4,1,1,Off,0.566105769230769,2,Yes
7,0.39,4,1,1,Off,0.495192307692308,2,Yes
8,0.39,4,1,1,Off,0.536057692307692,2,Yes
9,0.39,4,1,1,Off,0.556490384615385,2,Yes
10,0.39,4,1,1,Off,0.396634615384615,2,Yes
11,0.39,4,1,1,Off,0.472355769230769,2,Yes
12,0.39,4,1,1,Off,0.407451923076923,2,Yes
13,0.39,4,1,1,Off,0.421875,2,Yes
14,0.39,4,1,1,Off,0.439903846153846,2,Yes
15,0.39,4,1,1,Off,0.497596153846154,2,Yes
1,0.39,4,1,2,On,0.229395604395604,2,Yes
2,0.39,4,1,2,On,0.353021978021978,2,Yes
3,0.39,4,1,2,On,0.0398351648351648,2,Yes
4,0.39,4,1,2,On,0.487637362637363,2,Yes
5,0.39,4,1,2,On,0.0412087912087912,2,Yes
6,0.39,4,1,2,On,0.598901098901099,2,Yes
7,0.39,4,1,2,On,0.478021978021978,2,Yes
8,0.39,4,1,2,On,0.501373626373626,2,Yes
9,0.39,4,1,2,On,0.258241758241758,2,Yes
10,0.39,4,1,2,On,0.413461538461538,2,Yes
11,0.39,4,1,2,On,0.608516483516483,2,Yes
12,0.39,4,1,2,On,0.465659340659341,2,Yes
13,0.39,4,1,2,On,0.381868131868132,2,Yes
14,0.39,4,1,2,On,0.346153846153846,2,Yes
15,0.39,4,1,2,On,0.239010989010989,2,Yes
1,0.39,4,1,2,Off,0.378571428571429,2,Yes
2,0.39,4,1,2,Off,0.526190476190476,2,Yes
3,0.39,4,1,2,Off,0.476190476190476,2,Yes
4,0.39,4,1,2,Off,0.501190476190476,2,Yes
5,0.39,4,1,2,Off,0.4,2,Yes
6,0.39,4,1,2,Off,0.491666666666667,2,Yes
7,0.39,4,1,2,Off,0.475,2,Yes
8,0.39,4,1,2,Off,0.514285714285714,2,Yes
9,0.39,4,1,2,Off,0.282142857142857,2,Yes
10,0.39,4,1,2,Off,0.56547619047619,2,Yes
11,0.39,4,1,2,Off,0.392857142857143,2,Yes
12,0.39,4,1,2,Off,0.463095238095238,2,Yes
13,0.39,4,1,2,Off,0.342857142857143,2,Yes
14,0.39,4,1,2,Off,0.383333333333333,2,Yes
15,0.39,4,1,2,Off,0.385714285714286,2,Yes
1,0.39,4,1,3,On,0.456944444444444,2,Yes
2,0.39,4,1,3,On,0.413888888888889,2,Yes
3,0.39,4,1,3,On,0.272222222222222,2,Yes
4,0.39,4,1,3,On,0.481944444444444,2,Yes
5,0.39,4,1,3,On,0.361111111111111,2,Yes
6,0.39,4,1,3,On,0.488888888888889,2,Yes
7,0.39,4,1,3,On,0.330555555555556,2,Yes
8,0.39,4,1,3,On,0.329166666666667,2,Yes
9,0.39,4,1,3,On,0.0,2,Yes
10,0.39,4,1,3,On,0.533333333333333,2,Yes
11,0.39,4,1,3,On,0.398611111111111,2,Yes
12,0.39,4,1,3,On,0.394444444444444,2,Yes
13,0.39,4,1,3,On,0.0611111111111111,2,Yes
14,0.39,4,1,3,On,0.0902777777777778,2,Yes
15,0.39,4,1,3,On,0.0930555555555556,2,Yes
1,0.39,4,1,3,Off,0.51303317535545,2,Yes
2,0.39,4,1,3,Off,0.540284360189573,2,Yes
3,0.39,4,1,3,Off,0.0556872037914692,2,Yes
4,0.39,4,1,3,Off,0.530805687203792,2,Yes
5,0.39,4,1,3,Off,0.459715639810427,2,Yes
6,0.39,4,1,3,Off,0.511848341232227,2,Yes
7,0.39,4,1,3,Off,0.347156398104265,2,Yes
