Flynum,Concentration,Cohort,Week,Trial,Batch,Odor,Occupancy,Day,FlyIDConstant
1,0.39,6,3,1,1,On,0.473504273504273,1,Yes
2,0.39,6,3,1,1,On,0.88034188034188,1,Yes
3,0.39,6,3,1,1,On,0.555555555555556,1,Yes
4,0.39,6,3,1,1,On,0.473504273504273,1,Yes
5,0.39,6,3,1,1,On,0.416239316239316,1,Yes
6,0.39,6,3,1,1,On,0.300854700854701,1,Yes
7,0.39,6,3,1,1,On,0.701709401709402,1,Yes
8,0.39,6,3,1,1,On,0.147863247863248,1,Yes
9,0.39,6,3,1,1,On,0.446153846153846,1,Yes
10,0.39,6,3,1,1,On,0.567521367521368,1,Yes
11,0.39,6,3,1,1,On,0.403418803418803,1,Yes
12,0.39,6,3,1,1,On,0.736752136752137,1,Yes
13,0.39,6,3,1,1,On,0.0136752136752137,1,Yes
14,0.39,6,3,1,1,On,0.47008547008547,1,Yes
15,0.39,6,3,1,1,On,0.588888888888889,1,Yes
1,0.39,6,3,1,1,Off,0.0905511811023622,1,Yes
2,0.39,6,3,1,1,Off,0.778740157480315,1,Yes
3,0.39,6,3,1,1,Off,0.870866141732283,1,Yes
4,0.39,6,3,1,1,Off,0.364566929133858,1,Yes
5,0.39,6,3,1,1,Off,0.409448818897638,1,Yes
6,0.39,6,3,1,1,Off,0.409448818897638,1,Yes
7,0.39,6,3,1,1,Off,0.419685039370079,1,Yes
8,0.39,6,3,1,1,Off,0.811811023622047,1,Yes
9,0.39,6,3,1,1,Off,0.376377952755906,1,Yes
10,0.39,6,3,1,1,Off,0.688188976377953,1,Yes
11,0.39,6,3,1,1,Off,0.376377952755906,1,Yes
12,0.39,6,3,1,1,Off,0.359055118110236,1,Yes
13,0.39,6,3,1,1,Off,0.429133858267717,1,Yes
14,0.39,6,3,1,1,Off,0.859842519685039,1,Yes
15,0.39,6,3,1,1,Off,0.858267716535433,1,Yes
1,0.39,6,3,1,2,On,0.292184724689165,1,Yes
2,0.39,6,3,1,2,On,0.619005328596803,1,Yes
3,0.39,6,3,1,2,On,0.485790408525755,1,Yes
4,0.39,6,3,1,2,On,0.22113676731794,1,Yes
5,0.39,6,3,1,2,On,0.422735346358792,1,Yes
6,0.39,6,3,1,2,On,0.341030195381883,1,Yes
7,0.39,6,3,1,2,On,0.841030195381883,1,Yes
8,0.39,6,3,1,2,On,0.873889875666075,1,Yes
9,0.39,6,3,1,2,On,0.716696269982238,1,Yes
10,0.39,6,3,1,2,On,0.261989342806394,1,Yes
11,0.39,6,3,1,2,On,0.482238010657194,1,Yes
12,0.39,6,3,1,2,On,0.598579040852576,1,Yes
13,0.39,6,3,1,2,On,0.705150976909414,1,Yes
14,0.39,6,3,1,2,On,0.274422735346359,1,Yes
15,0.39,6,3,1,2,On,0.803730017761989,1,Yes
1,0.39,6,3,1,2,Off,0.544642857142857,1,Yes
2,0.39,6,3,1,2,Off,0.325892857142857,1,Yes
3,0.39,6,3,1,2,Off,0.697916666666667,1,Yes
4,0.39,6,3,1,2,Off,0.213541666666667,1,Yes
5,0.39,6,3,1,2,Off,0.496279761904762,1,Yes
6,0.39,6,3,1,2,Off,0.183035714285714,1,Yes
7,0.39,6,3,1,2,Off,0.874255952380952,1,Yes
8,0.39,6,3,1,2,Off,0.634672619047619,1,Yes
9,0.39,6,3,1,2,Off,0.595982142857143,1,Yes
10,0.39,6,3,1,2,Off,0.714285714285714,1,Yes
11,0.39,6,3,1,2,Off,0.476190476190476,1,Yes
12,0.39,6,3,1,2,Off,0.413690476190476,1,Yes
13,0.39,6,3,1,2,Off,0.703869047619048,1,Yes
14,0.39,6,3,1,2,Off,0.508928571428571,1,Yes
15,0.39,6,3,1,2,Off,0.447916666666667,1,Yes
1,0.39,6,3,1,3,On,0.810996563573883,1,Yes
2,0.39,6,3,1,3,On,0.396048109965636,1,Yes
3,0.39,6,3,1,3,On,0.414089347079038,1,Yes
4,0.39,6,3,1,3,On,0.599656357388316,1,Yes
5,0.39,6,3,1,3,On,0.692439862542955,1,Yes
